"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
Pinus albicaulis,"Engelm.","",whitebark pine,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Pinus,Pinus albicaulis,,,,native,S2S3 (2013),,1938-08-10,"John W. Eastham",UBC,V5450,,2024-08-27,"stem57",iNaturalist,239913972,,28,confirmed,observed,"",68083,VAS
Pinus contorta var. contorta,"Douglas","",shore pine,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Pinus,Pinus contorta,,,contorta,native,S5 (2000),,1956-08-11,"Jenkins, L.;Van Nes, D.N.",MNHN,P06802870,,2024-10-05,"Steve Ansell",iNaturalist,245839138,,494,confirmed,observed,"",80130,VAS
Pinus monticola,"Douglas ex. D. Don","",western white pine,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Pinus,Pinus monticola,,,,native,S4 (2015),,2010-05-30,"Steve Ansell",iNaturalist,147504413,,2024-10-13,"Roslyn",iNaturalist,247200042,,301,confirmed,observed,"",68084,VAS
Plantago elongata,"Pursh","",slender plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Plantago,Plantago elongata,,,,native,S4 (2001),,1993-05-24,"Terry Taylor",RBCM,V182021,,2024-04-29,"John D Reynolds",iNaturalist,212134063,,3,confirmed,observed,"RBCM:  Bowen Island",237970,VAS
Plantago macrocarpa,"Cham. & Schltdl.","",Alaska plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Plantago,Plantago macrocarpa,,,,native,S4 (2015),,2015-05-20,"judith holm",iNaturalist,4402336,,2024-04-26,"judith holm",iNaturalist,211026826,,24,confirmed,observed,"",167006,VAS
Plantago maritima,"L.","",seaside plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Plantago,Plantago maritima,,,,native,S5,,2004-08-12,"Nick Page",Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report,NPAGE2004:63,,2024-10-05,"Steve Ansell",iNaturalist,245841851,,44,confirmed,observed,"",68543,VAS
Platanthera aquilonis,"Sheviak","",northern green rein orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera aquilonis,,,,native,S5 (2019),,1995-07-16,"Straley, Gerald B.",USCH,USCH0065141,,1995-07-16,"Straley, Gerald B.",USCH,USCH0065141,,2,reported,unobserved,"Straley’s USCH record annotated as Platanthera hyperborea; likely refers to Platanthera aquilonis",131230,VAS
Platanthera dilatata var. leucostachys,"(Pursh) Lindl. ex L.C.Beck","(Lindl.) Hultén",Sierra bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera dilatata,,,leucostachys,native,S5 (2000),,1913-08-01,"W. Taylor",UBC,V26634,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:403,,3,reported,unobserved,"UBC:  Hollyburn Ridge",81271,VAS
Platanthera elegans,"Lindl.","",elegant rein orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera elegans,,,,native,S4,,2015-06-09,"Steve Ansell",iNaturalist,66759681,,2024-07-25,"K. Groves",iNaturalist,231761027,,10,confirmed,observed,"",840641,VAS
Platanthera elongata,"(Rydb.) R.M.Bateman","",tall rein orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera elongata,,,,native,S3S4 (2019),,2023-05-15,"arial",iNaturalist,161906995,,2024-07-19,"Gavin Petersen",iNaturalist,230425337,,4,new 2023,observed,"",551466,VAS
