scientificName,linkName,linkTaxonID,taxonRank,reportingStatus,direct_solow_pp,phylum,iNaturalistTaxonId,iNaturalistTaxonName,kingdom,subphylum,class,subclass,superorder,order,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,nameStatus
Clematis vitalba,Clematis vitalba,160697,species,new,1,Tracheophyta,160697,Clematis vitalba,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Anemoneae,Clematis,vitalba,,,accepted
Clinopodium douglasii,Clinopodium douglasii,53203,species,confirmed,1,Tracheophyta,53203,Clinopodium douglasii,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Clinopodium,douglasii,,,accepted
Clinopodium vulgare,Clinopodium vulgare,84281,species,new,0.4,Tracheophyta,84281,Clinopodium vulgare,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Clinopodium,vulgare,,,accepted
Collinsia grandiflora,Collinsia grandiflora,76409,species,confirmed,1,Tracheophyta,76409,Collinsia grandiflora,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Cheloneae,Collinsia,grandiflora,,,accepted
Collinsia parviflora,Collinsia parviflora,59013,species,confirmed,,Tracheophyta,59013,Collinsia parviflora,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Cheloneae,Collinsia,parviflora,,,accepted
Collomia grandiflora,Collomia grandiflora,61871,species,confirmed,0.992125984251969,Tracheophyta,61871,Collomia grandiflora,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Polemoniaceae,,,Collomia,grandiflora,,,accepted
Collomia heterophylla,Collomia heterophylla,52996,species,confirmed,1,Tracheophyta,52996,Collomia heterophylla,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Polemoniaceae,,,Collomia,heterophylla,,,accepted
Collomia linearis,Collomia linearis,76416,species,unconfirmed,0.446808510638298,Tracheophyta,76416,Collomia linearis,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Polemoniaceae,,,Collomia,linearis,,,accepted
Comandra umbellata ssp. californica,Comandra umbellata; Comandra umbellata californica,59991; 79754,subspecies,confirmed,1,Tracheophyta,79754,Comandra umbellata californica,Plantae,Angiospermae,Magnoliopsida,,,Santalales,,,Santalaceae,,,Comandra,umbellata,Comandra umbellata californica,,accepted
Comarum palustre,Comarum palustre,62213,species,confirmed,1,Tracheophyta,62213,Comarum palustre,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Comarum,palustre,,,accepted
Conioselinum pacificum,Conioselinum gmelinii,160830,species,confirmed,1,Tracheophyta,160830,Conioselinum gmelinii,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,,Conioselinum,gmelinii,,,unaccepted
Conium maculatum,Conium maculatum,52998,species,confirmed,1,Tracheophyta,52998,Conium maculatum,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Smyrnieae,Conium,maculatum,,,accepted
Conringia orientalis,Conringia orientalis,76429,species,unconfirmed,0.194244604316547,Tracheophyta,76429,Conringia orientalis,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Conringieae,Conringia,orientalis,,,accepted
Convolvulus arvensis,Convolvulus arvensis,53021,species,confirmed,1,Tracheophyta,53021,Convolvulus arvensis,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,Convolvuloideae,Convolvuleae,Convolvulus,arvensis,,,accepted
Conyza canadensis,Erigeron canadensis,76907,species,new,0.833333333333333,Tracheophyta,76907,Erigeron canadensis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Astereae,Erigeron,canadensis,,,unaccepted
Corallorhiza maculata,Corallorhiza maculata,49475,species,confirmed,1,Tracheophyta,49475,Corallorhiza maculata,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,,accepted
Corallorhiza maculata var. maculata,Corallorhiza maculata maculata,80614,variety,new,0.4,Tracheophyta,80614,Corallorhiza maculata maculata,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,Corallorhiza maculata maculata,accepted
Corallorhiza maculata var. occidentalis,Corallorhiza maculata occidentalis,80615,variety,new,0.933333333333333,Tracheophyta,80615,Corallorhiza maculata occidentalis,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,Corallorhiza maculata occidentalis,accepted
Corallorhiza maculata var. ozettensis,Corallorhiza maculata ozettensis,452199,variety,new,0.875,Tracheophyta,452199,Corallorhiza maculata ozettensis,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,Corallorhiza maculata ozettensis,accepted
Corallorhiza mertensiana,Corallorhiza mertensiana,49444,species,confirmed,1,Tracheophyta,49444,Corallorhiza mertensiana,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,mertensiana,,,accepted
Corallorhiza striata var. striata,Corallorhiza striata striata; Corallorhiza striata,131215; 50708,variety,confirmed,1,Tracheophyta,131215,Corallorhiza striata striata,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,striata,,Corallorhiza striata striata,accepted
Coreopsis tinctoria,Coreopsis tinctoria,76445,species,new,0.944444444444444,Tracheophyta,76445,Coreopsis tinctoria,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Coreopsideae,Coreopsis,tinctoria,,,accepted
Cornus canadensis,Cornus canadensis,47192,species,new,0.2,Tracheophyta,47192,Cornus canadensis,Plantae,Angiospermae,Magnoliopsida,,,Cornales,,,Cornaceae,,,Cornus,canadensis,,,accepted
Cornus nuttallii,Cornus nuttallii,76447,species,confirmed,1,Tracheophyta,76447,Cornus nuttallii,Plantae,Angiospermae,Magnoliopsida,,,Cornales,,,Cornaceae,,,Cornus,nuttallii,,,accepted
Cornus occidentalis,Cornus sericea occidentalis,53366,subspecies,new,0.166666666666667,Tracheophyta,53366,Cornus sericea occidentalis,Plantae,Angiospermae,Magnoliopsida,,,Cornales,,,Cornaceae,,,Cornus,sericea,Cornus sericea occidentalis,,unaccepted
Cornus stolonifera,Cornus sericea,53387,species,confirmed,1,Tracheophyta,53387,Cornus sericea,Plantae,Angiospermae,Magnoliopsida,,,Cornales,,,Cornaceae,,,Cornus,sericea,,,unaccepted
Cortaderia selloana,Cortaderia selloana,64240,species,new,0.88235294117647,Tracheophyta,64240,Cortaderia selloana,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Cortaderia,selloana,,,accepted
Corydalis aurea ssp. aurea,Corydalis aurea,,,unconfirmed,0.517985611510791,Tracheophyta,235436,Corydalis aurea aurea,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Corydaleae,Corydalis,aurea,Corydalis aurea aurea,,accepted
Corydalis flavula,Pseudofumaria alba,347008,species,new,1,Tracheophyta,128038,Corydalis flavula,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Corydaleae,Corydalis,flavula,,,accepted
Corydalis lutea,Pseudofumaria lutea,130800,species,new,0.833333333333333,Tracheophyta,130800,Pseudofumaria lutea,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Fumarieae,Pseudofumaria,lutea,,,unaccepted
Corydalis scouleri,Corydalis scouleri,,species,unconfirmed,0.525179856115108,Tracheophyta,153412,Corydalis scouleri,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Corydaleae,Corydalis,scouleri,,,accepted
Corylus avellana,Corylus avellana,54491,species,new,1,Tracheophyta,54491,Corylus avellana,Plantae,Angiospermae,Magnoliopsida,,,Fagales,,,Betulaceae,,,Corylus,avellana,,,accepted
Corylus cornuta ssp. californica,Corylus cornuta; Corylus cornuta californica,53374; 53368,subspecies,confirmed,1,Tracheophyta,53368,Corylus cornuta californica,Plantae,Angiospermae,Magnoliopsida,,,Fagales,,,Betulaceae,,,Corylus,cornuta,Corylus cornuta californica,,accepted
Cota tinctoria,Cota tinctoria,,,,,Tracheophyta,76456,Cota tinctoria,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Cota,tinctoria,,,accepted
Cotoneaster dammeri,Cotoneaster dammeri,160946,species,confirmed,0.9375,Tracheophyta,160946,Cotoneaster dammeri,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,dammeri,,,accepted
Cotoneaster dielsianus,Cotoneaster dielsianus,498529,species,new,0.0526315789473684,Tracheophyta,498529,Cotoneaster dielsianus,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,dielsianus,,,accepted
Cotoneaster divaricatus,Cotoneaster divaricatus,160947,species,new,1,Tracheophyta,160947,Cotoneaster divaricatus,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,divaricatus,,,accepted
Cotoneaster franchetii,Cotoneaster franchetii,1319212,species,new,1,Tracheophyta,1319212,Cotoneaster franchetii,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,franchetii,,,accepted
Cotoneaster horizontalis,Cotoneaster horizontalis,53771,species,confirmed,1,Tracheophyta,53771,Cotoneaster horizontalis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,horizontalis,,,accepted
Cotoneaster lacteus,Cotoneaster coriaceus,411074,species,new,0.833333333333333,Tracheophyta,411074,Cotoneaster coriaceus,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,coriaceus,,,unaccepted
Cotoneaster qungbixiensis,Cotoneaster qungbixiensis,993678,species,new,0.0526315789473684,Tracheophyta,993678,Cotoneaster qungbixiensis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,qungbixiensis,,,accepted
Cotoneaster rehderi,Cotoneaster rehderi,160951,species,confirmed,1,Tracheophyta,160951,Cotoneaster rehderi,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,rehderi,,,accepted
Cotoneaster salicifolius,Cotoneaster salicifolius,337820,species,new,1,Tracheophyta,337820,Cotoneaster salicifolius,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,salicifolius,,,accepted
Cotoneaster simonsii,Cotoneaster simonsii,76461,species,new,1,Tracheophyta,76461,Cotoneaster simonsii,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,simonsii,,,accepted
Cotoneaster spp.,Cotoneaster,53376,species,new,0.863309352517986,Tracheophyta,53376,Cotoneaster,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,,,,accepted
Cotula coronopifolia,Cotula coronopifolia,58812,species,confirmed,0.989010989010989,Tracheophyta,58812,Cotula coronopifolia,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Cotula,coronopifolia,,,accepted
Crassula aquatica,Crassula aquatica,58135,species,unconfirmed,0.266666666666667,Tracheophyta,58135,Crassula aquatica,Plantae,Angiospermae,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Crassuloideae,,Crassula,aquatica,,,accepted
Crassula connata,Crassula connata,57016,species,confirmed,1,Tracheophyta,57016,Crassula connata,Plantae,Angiospermae,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Crassuloideae,,Crassula,connata,,,accepted
Crassula tillaea,Crassula tillaea,58883,species,confirmed,1,Tracheophyta,58883,Crassula tillaea,Plantae,Angiospermae,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Crassuloideae,,Crassula,tillaea,,,accepted
Crataegus douglasii,Crataegus douglasii,76469,species,confirmed,1,Tracheophyta,76469,Crataegus douglasii,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,douglasii,,,accepted
Crataegus gaylussacia,Crataegus suksdorfii; Crataegus gaylussacia,1551517; 76470,species,confirmed,0.988372093023256,Tracheophyta,76470,Crataegus gaylussacia,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,gaylussacia,,,accepted
Crataegus laevigata,Crataegus laevigata,54428,species,new,0.75,Tracheophyta,54428,Crataegus laevigata,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,laevigata,,,accepted
Crataegus monogyna var. monogyna,Crataegus monogyna,51147,complex,confirmed,1,Tracheophyta,1642774,Crataegus monogyna monogyna,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,monogyna,Crataegus monogyna monogyna,,accepted
Crataegus shuswapensis,Crataegus shuswapensis,1280108,species,new,0.899280575539568,Tracheophyta,1280108,Crataegus shuswapensis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,shuswapensis,,,accepted
Crepis capillaris,Crepis capillaris,54050,species,confirmed,1,Tracheophyta,54050,Crepis capillaris,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Crepis,capillaris,,,accepted
Crocidium multicaule,Crocidium multicaule,57524,species,confirmed,1,Tracheophyta,57524,Crocidium multicaule,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Senecioneae,Crocidium,multicaule,,,accepted
Crocus × stellaris,Crocus × stellaris,487126,hybrid,new,0.833333333333333,Tracheophyta,487126,Crocus × stellaris,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Iridaceae,Crocoideae,Ixieae,Crocus,,,,accepted
Crocus vernus,Crocus vernus,55769,species,new,1,Tracheophyta,55769,Crocus vernus,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Iridaceae,Crocoideae,Ixieae,Crocus,vernus,,,accepted
Cryptantha torreyana,Cryptantha torreyana,,,,,Tracheophyta,57697,Cryptantha torreyana,Plantae,Angiospermae,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Cryptantha,torreyana,,,accepted
Cryptogramma acrostichoides,Cryptogramma acrostichoides,76536,species,confirmed,1,Tracheophyta,76536,Cryptogramma acrostichoides,Plantae,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Pteridaceae,Cryptogrammoideae,,Cryptogramma,acrostichoides,,,accepted
Cuscuta cephalanthi,Cuscuta cephalanthi,52727,species,confirmed,0.985714285714286,Tracheophyta,52727,Cuscuta cephalanthi,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,,Cuscuteae,Cuscuta,cephalanthi,,,accepted
Cuscuta pacifica var. pacifica,Cuscuta pacifica pacifica; Cuscuta pacifica,80645; 76553,variety,confirmed,1,Tracheophyta,80645,Cuscuta pacifica pacifica,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,,Cuscuteae,Cuscuta,pacifica,,Cuscuta pacifica pacifica,accepted
Cuscuta pentagona,Cuscuta pentagona,,,unconfirmed,0.388489208633094,Tracheophyta,161280,Cuscuta pentagona,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,,Cuscuteae,Cuscuta,pentagona,,,accepted
Cyclamen hederifolium,Cyclamen hederifolium,127355,species,confirmed,1,Tracheophyta,127355,Cyclamen hederifolium,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Cyclamen,hederifolium,,,accepted
Cymbalaria muralis ssp. muralis,Cymbalaria muralis,55727,species,new,1,Tracheophyta,319936,Cymbalaria muralis muralis,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Antirrhineae,Cymbalaria,muralis,Cymbalaria muralis muralis,,accepted
Cynodon dactylon var. dactylon,Cynodon dactylon,,,unconfirmed,0.0863309352517986,Tracheophyta,240226,Cynodon dactylon dactylon,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Chloridoideae,Cynodonteae,Cynodon,dactylon,,Cynodon dactylon dactylon,accepted
Cynosurus cristatus,Cynosurus cristatus,76581,species,confirmed,1,Tracheophyta,76581,Cynosurus cristatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cynosurus,cristatus,,,accepted
Cynosurus echinatus,Cynosurus echinatus,47695,species,confirmed,1,Tracheophyta,47695,Cynosurus echinatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cynosurus,echinatus,,,accepted
Cyperus esculentus var. leptostachyus,Cyperus esculentus,76584,species,new,0.884892086330935,Tracheophyta,80658,Cyperus esculentus leptostachyus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cypereae,Cyperus,esculentus,,Cyperus esculentus leptostachyus,accepted
Cypripedium montanum,Cypripedium montanum,,,,,Tracheophyta,50712,Cypripedium montanum,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Cypripedioideae,,Cypripedium,montanum,,,accepted
Cystopteris fragilis,Cystopteris fragilis,58755,species,confirmed,1,Tracheophyta,58755,Cystopteris fragilis,Plantae,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Cystopteridaceae,,,Cystopteris,fragilis,,,accepted
Cytisus procumbens,Cytisus procumbens,897622,species,new,0.272727272727273,Tracheophyta,897622,Cytisus procumbens,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Cytisus,procumbens,,,accepted
Cytisus scoparius,Cytisus scoparius,48538,species,confirmed,1,Tracheophyta,48538,Cytisus scoparius,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Cytisus,scoparius,,,accepted
Dactylis glomerata,Dactylis glomerata,52720,species,confirmed,1,Tracheophyta,52720,Dactylis glomerata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Dactylis,glomerata,,,accepted
Danthonia californica,Danthonia californica,57165,species,confirmed,,Tracheophyta,57165,Danthonia californica,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,californica,,,accepted
Danthonia intermedia ssp. intermedia,Danthonia intermedia,,species,unconfirmed,0.79136690647482,Tracheophyta,79781,Danthonia intermedia intermedia,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,intermedia,Danthonia intermedia intermedia,,accepted
Danthonia spicata,Danthonia spicata,130174,species,new,0.971223021582734,Tracheophyta,130174,Danthonia spicata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,spicata,,,accepted
Danthonia unispicata,Danthonia unispicata,76605,species,unconfirmed,0.640287769784173,Tracheophyta,76605,Danthonia unispicata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,unispicata,,,accepted
Daphne laureola,Daphne laureola,127391,species,confirmed,1,Tracheophyta,127391,Daphne laureola,Plantae,Angiospermae,Magnoliopsida,,,Malvales,,,Thymelaeaceae,,,Daphne,laureola,,,accepted
Daphne mezereum,Daphne mezereum,133034,species,new,0.971223021582734,Tracheophyta,133034,Daphne mezereum,Plantae,Angiospermae,Magnoliopsida,,,Malvales,,,Thymelaeaceae,,,Daphne,mezereum,,,accepted
Datura innoxia,Datura innoxia,161639,species,new,0.157894736842105,Tracheophyta,161639,Datura innoxia,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Solanaceae,Solanoideae,Datureae,Datura,innoxia,,,accepted
Datura stramonium,Datura stramonium,55854,species,confirmed,0.977777777777778,Tracheophyta,55854,Datura stramonium,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Solanaceae,Solanoideae,Datureae,Datura,stramonium,,,accepted
Daucus carota,Daucus carota,76610,species,confirmed,,Tracheophyta,76610,Daucus carota,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Scandiceae,Daucus,carota,,,accepted
Daucus pusillus,Daucus pusillus,56726,species,confirmed,1,Tracheophyta,56726,Daucus pusillus,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Scandiceae,Daucus,pusillus,,,accepted
Delphinium ajacis,Consolida ajacis; Delphinium ajacis,401314,species,new,1,Tracheophyta,401314,Delphinium ajacis,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,ajacis,,,accepted
Delphinium elatum,Delphinium elatum,161664,species,new,0.964028776978417,Tracheophyta,161664,Delphinium elatum,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,elatum,,,accepted
Delphinium menziesii var. menziesii,Delphinium menziesii; Delphinium menziesii menziesii,153479; 153478,variety,confirmed,,Tracheophyta,153478,Delphinium menziesii menziesii,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,menziesii,Delphinium menziesii menziesii,,accepted
Deschampsia cespitosa,Deschampsia cespitosa,76639,species,confirmed,1,Tracheophyta,76639,Deschampsia cespitosa,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,cespitosa,,,accepted
Deschampsia danthonioides,Deschampsia danthonioides,57164,species,confirmed,0.988372093023256,Tracheophyta,57164,Deschampsia danthonioides,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,danthonioides,,,accepted
Deschampsia elongata,Deschampsia elongata,52722,species,confirmed,,Tracheophyta,52722,Deschampsia elongata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,elongata,,,accepted
Descurainia pinnata ssp. brachycarpa,Descurainia pinnata brachycarpon; Descurainia pinnata brachycarpa,59235,subspecies,unconfirmed,0.122448979591837,Tracheophyta,59235,Descurainia pinnata brachycarpa,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Descurainieae,Descurainia,pinnata,Descurainia pinnata brachycarpa,,accepted
Descurainia sophia,Descurainia sophia,58074,species,confirmed,0.962025316455696,Tracheophyta,58074,Descurainia sophia,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Descurainieae,Descurainia,sophia,,,accepted
Dianthus armeria ssp. armeria,Dianthus armeria,64541,species,confirmed,1,Tracheophyta,64541,Dianthus armeria,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Dianthus,armeria,,,unaccepted
Dianthus barbatus ssp. barbatus,Dianthus barbatus,60015,species,new,1,Tracheophyta,60012,Dianthus barbatus barbatus,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Dianthus,barbatus,,Dianthus barbatus barbatus,accepted
Dicentra formosa ssp. Formosa,Dicentra formosa,51048,species,confirmed,1,Tracheophyta,51048,Dicentra formosa,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Dicentreae,Dicentra,formosa,,,invalid
Dichanthelium acuminatum var. fasciculatum,Dichanthelium acuminatum; Dichanthelium lanuginosum,148953,variety,unconfirmed,0.333333333333333,Tracheophyta,148953,Dichanthelium lanuginosum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Dichanthelium,lanuginosum,,,unaccepted
Dichanthelium oligosanthes ssp. scribnerianum,Dichanthelium scribnerianum,1412639,variety,unconfirmed,0.3125,Tracheophyta,1412639,Dichanthelium scribnerianum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Dichanthelium,scribnerianum,,,unaccepted
Digitalis purpurea,Digitalis purpurea,53983,species,new,1,Tracheophyta,53983,Digitalis purpurea,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Digitalideae,Digitalis,purpurea,,,accepted
Digitaria ischaemum,Digitaria ischaemum,76658,species,new,1,Tracheophyta,76658,Digitaria ischaemum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Digitaria,ischaemum,,,accepted
Digitaria sanguinalis,Digitaria sanguinalis,51633,species,new,1,Tracheophyta,51633,Digitaria sanguinalis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Digitaria,sanguinalis,,,accepted
Diplotaxis tenuifolia,Diplotaxis tenuifolia,76665,species,new,0.833333333333333,Tracheophyta,76665,Diplotaxis tenuifolia,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Brassiceae,Diplotaxis,tenuifolia,,,accepted
Dipsacus fullonum,Dipsacus fullonum,56002,species,new,1,Tracheophyta,56002,Dipsacus fullonum,Plantae,Angiospermae,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Dipsacoideae,,Dipsacus,fullonum,,,accepted
Distichlis spicata,Distichlis spicata; Distichlis spicata spicata,58372; 315501,species,confirmed,1,Tracheophyta,58372,Distichlis spicata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Chloridoideae,Cynodonteae,Distichlis,spicata,,,accepted
Dodecatheon hendersonii,Primula hendersonii,487175,species,confirmed,1,Tracheophyta,487175,Primula hendersonii,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Primuloideae,Primuleae,Primula,hendersonii,,,unaccepted
Doronicum pardalianches,Doronicum pardalianches,61521,species,new,1,Tracheophyta,61521,Doronicum pardalianches,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,pardalianches,,,accepted
Draba verna,Draba verna,55823,species,confirmed,1,Tracheophyta,55823,Draba verna,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,verna,,,accepted
Drosera anglica,Drosera anglica,52655,species,unconfirmed,0.618705035971223,Tracheophyta,52655,Drosera anglica,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,,Drosera,anglica,,,accepted
Drosera rotundifolia,Drosera rotundifolia,52658,species,confirmed,0.982608695652174,Tracheophyta,52658,Drosera rotundifolia,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,,Drosera,rotundifolia,,,accepted
