scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode,iNaturalistTaxonId,iNaturalistTaxonName,nameStatus
Cotoneaster horizontalis,Decne.,,wall cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,Cotoneaster horizontalis,,,,exotic,SNA (2001),,2006-06-14,Peter F. Zika,UWBM,163668,,2024-09-21,smcd,iNaturalist,243659623,,48,confirmed,observed,,53771,VAS,53771,Cotoneaster horizontalis,accepted
Cotoneaster integrifolius,(Roxb.) G.Klotz,,entire-leaved cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,Cotoneaster integrifolius,,,,exotic,unlisted,,2006-06-14,Peter F. Zika,UWBM,175583,,2008-02-18,F. Lomer,,CCDB-24915-B05,,3,reported,unobserved,,76459,VAS,76459,Cotoneaster integrifolius,accepted
Cotoneaster rehderi,Pojark.,,bullate cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,Cotoneaster rehderi,,,,exotic,SNA (2019),,2016-09-07,Vanessa,iNaturalist,8944759,,2024-09-19,licheness,iNaturalist,242719435,,17,new 2016,observed,RBCM:  West Vancouver,160951,VAS,160951,Cotoneaster rehderi,accepted
Cotoneaster salicifolius,Franch.,,willow-leaved cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,Cotoneaster salicifolius,,,,exotic,SNA,,2006-06-14,Peter F. Zika,UWBM,163654,,2024-03-11,pes_c515,iNaturalist,203179203,,12,confirmed,observed,Reported as Cotoneaster salicifolius var. rugosa by Lomer 2011,337820,VAS,337820,Cotoneaster salicifolius,accepted
Cotoneaster simonsii,Baker,,Himalayan cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,Cotoneaster simonsii,,,,exotic,SNA (2001),,2008-02-18,Frank Lomer,RBCM,V206639,,2024-09-16,Cassidy Best,iNaturalist,242235312,,35,confirmed,observed,,76461,VAS,76461,Cotoneaster simonsii,accepted
Cotoneaster sternianus,(Turrill) Boom,,Stern's cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,Cotoneaster sternianus,,,,exotic,SNA,,2006-06-14,Peter Zika,iNaturalist,55340193,,2007-11-14,Peter Zika,iNaturalist,55342899,,2,reported,observed,,791250,VAS,791250,Cotoneaster sternianus,accepted
Cotula coronopifolia,L.,,brass buttons,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Cotula,Cotula coronopifolia,,,,exotic,SNA (2001),,2015-07-18,judith holm,iNaturalist,4373200,,2024-07-31,Andrew Simon,iNaturalist,233212997,,17,confirmed,observed,,58812,VAS,58812,Cotula coronopifolia,accepted
Crataegus douglasii,Lindl.,,black hawthorn,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,Crataegus douglasii,,,,native,S5 (2019),,2017-06-11,savaugegarden13,iNaturalist,6596877,,2024-08-01,Allison McCabe,iNaturalist,233223496,,6,new 2017,observed,,76469,VAS,76469,Crataegus douglasii,accepted
Crataegus monogyna,Jacq.,,common hawthorn,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,Crataegus monogyna,,,,exotic,SNA,,1988-08-04,Wilfred B. Schofield,UBC,V200573,,2024-05-05,arial,iNaturalist,213837264,,20,confirmed,observed,,51147,VAS,51147,Crataegus monogyna,accepted
Crepis capillaris,(L.) Wallr.,,smooth hawksbeard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Crepis,Crepis capillaris,,,,exotic,SNA (2001),,2015-12-30,Frank Lomer,UBC,V247102,,2024-07-28,Kayla,iNaturalist,232358328,,23,confirmed,observed,,54050,VAS,54050,Crepis capillaris,accepted
Crocosmia × crocosmiiflora,(Lemoine) N.E. Br.,,montbretia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Crocoideae,Ixieae,Crocosmia,Crocosmia ,Crocosmia × crocosmiiflora,,,exotic,SNA (2001),,2019-08-21,Ben Keen,iNaturalist,31271406,,2019-08-21,Ben Keen,iNaturalist,31271406,,2,new 2019,observed,,181465,VAS,181465,Crocosmia × crocosmiiflora,accepted
Cryptogramma acrostichoides,R. Br.,,American parsley fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Cryptogrammoideae,,Cryptogramma,Cryptogramma acrostichoides,,,,native,S5 (2015),,1916-06-12,"Macoun, John M.",AUA,AUA000039808,,2024-10-11,judith holm,iNaturalist,246867493,,280,confirmed,observed,,76536,VAS,76536,Cryptogramma acrostichoides,accepted
Cryptogramma cascadensis,A.R. Alverson,,Cascade parsley fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Cryptogrammoideae,,Cryptogramma,Cryptogramma cascadensis,,,,native,S3S4 (2019),,2020-08-09,Steve Ansell,iNaturalist,68845874,,2020-08-22,judith holm,iNaturalist,57450740,,4,new 2020,observed,,76537,VAS,76537,Cryptogramma cascadensis,accepted
Cyclamen hederifolium,Aiton,,cyclamen,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Cyclamen,Cyclamen hederifolium,,,,exotic,SNA (2019),,2021-09-26,smcd,iNaturalist,96548063,,2024-10-17,kwright,iNaturalist,247808475,,7,new 2021,observed,,127355,VAS,127355,Cyclamen hederifolium,accepted
Cymbalaria muralis,"G. Gaertn., B. Mey. & Scherb.",,ivy-leaved toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Antirrhineae,Cymbalaria,Cymbalaria muralis,,,,exotic,SNA (2001),,2017-06-21,,,,,2024-03-30,paintedbunting123,iNaturalist,205352837,,72,new 2017,observed,,55727,VAS,55727,Cymbalaria muralis,accepted
Cynosurus echinatus,L.,,bristly dogtail grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cynosurus,Cynosurus echinatus,,,,exotic,SNA (2019),,2019-08-17,Mews,iNaturalist,31036578,,2024-08-21,Yann Kemper,iNaturalist,237916702,,32,new 2019,observed,,47695,VAS,47695,Cynosurus echinatus,accepted
Cypripedium montanum,Douglas ex Lindl.,,mountain lady's-slipper,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Cypripedioideae,,Cypripedium,Cypripedium montanum,,,,native,S4S5 (2019),,2019-06-07,John Martin,iNaturalist,26944078,,2019-06-07,John Martin,iNaturalist,26944078,,1,new 2019,observed,,50712,VAS,50712,Cypripedium montanum,accepted
Cystopteris fragilis,(L.) Bernh.,,fragile fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,Cystopteridaceae,,,Cystopteris,Cystopteris fragilis,,,,native,S5 (2015),,2020-05-09,Chloe and Trevor Van Loon,iNaturalist,45683584,,2024-07-24,Harry Hill,iNaturalist,231538273,,41,new 2020,observed,,58755,VAS,58755,Cystopteris fragilis,accepted
Cytisus scoparius,(L.) Link,,common broom,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Cytisus,Cytisus scoparius,,,,exotic,SNA (2001),,1996-04-26,J. Burke Korol,iNaturalist,9450350,,2024-09-20,Ellen Guiling,iNaturalist,243120169,,316,confirmed,observed,,48538,VAS,48538,Cytisus scoparius,accepted
Dactylis glomerata,L.,,cock's-foot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Dactylis,Dactylis glomerata,,,,exotic,SNA (2000),,2018-06-03,judith holm,iNaturalist,13102797,,2024-10-09,smcd,iNaturalist,246628630,,58,new 2018,observed,,52720,VAS,52720,Dactylis glomerata,accepted
Danthonia intermedia,Vasey,,none,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,Danthonia intermedia,,,,native,S5 (2015),,1938-08-13,John Eastham,RBCM,V011263,,2024-08-03,teagan_maclachlan,iNaturalist,233802087,,9,confirmed,observed,UBC:  Horseshoe Bay Whytecliff Park,945362,VAS,76604,Danthonia intermedia,accepted
Danthonia spicata,(L.) P. Beauv. ex Roem. & Schult.,,poverty oatgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,Danthonia spicata,,,,native,S5 (2015),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:176,,2024-01-16,nigelgy,iNaturalist,196860993,,3,new 2020,observed,UBC:  Bowen Island Plot #31,130174,VAS,130174,Danthonia spicata,accepted
Daphne laureola,L.,,spurge-laurel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Thymelaeaceae,,,Daphne,Daphne laureola,,,,exotic,SNA (2001),,2006-06-14,Peter F. Zika,UWBM,162808,,2024-08-21,Yann Kemper,iNaturalist,237908879,,153,confirmed,observed,,127391,VAS,127391,Daphne laureola,accepted
Dasiphora fruticosa,(L.) Rydb.,,shrubby cinquefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Dasiphora,Dasiphora fruticosa,,,,native,S5 (2019),,1916-08-01,F. Perry,UBC,V32950,,2022-08-08,bee_wolfe,iNaturalist,130064006,,6,confirmed,observed,,76606,VAS,76606,Dasiphora fruticosa,accepted
Daucus carota,L.,,wild carrot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Scandiceae,Daucus,Daucus carota,,,,exotic,SNA (2019),,2019-04-03,Ben Keen,iNaturalist,21969383,,2024-08-04,noraomosura,iNaturalist,233733135,,11,new 2019,observed,,76610,VAS,76610,Daucus carota,accepted
Daucus pusillus,Michx.,,American wild carrot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Scandiceae,Daucus,Daucus pusillus,,,,native,S5 (2019),,2015-06-06,Steve Ansell,iNaturalist,66764636,,2024-06-16,Gavin Petersen,iNaturalist,223186269,,17,confirmed,observed,,56726,VAS,56726,Daucus pusillus,accepted
Delphinium menziesii,DC.,,Menzies' larkspur,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,Delphinium menziesii,,,,native,S5 (2019),,1961-05-22,Gail Moyer,RBCM,V084383,,2024-06-06,ellenbutler,iNaturalist,220990594,,4,confirmed,observed,,153479,VAS,153479,Delphinium menziesii,accepted
Dendrolycopodium dendroideum,(Michx.) A. Haines,,prickly tree-clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,Dendrolycopodium,Dendrolycopodium dendroideum,,,,native,S4S5 (2015),,2014-06-02,judith holm,iNaturalist,6217160,,2024-07-10,Mari,iNaturalist,228578253,,15,confirmed,observed,,199979,VAS,199979,Dendrolycopodium dendroideum,accepted
Deschampsia cespitosa,(L.) P. Beauv.,,tufted hair grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,Deschampsia cespitosa,,,,native,S5 (2000),,2004-08-12,Nick Page,Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report,NPAGE2004:25,,2024-07-06,Ben Keen,iNaturalist,227553325,,15,confirmed,observed,,76639,VAS,76639,Deschampsia cespitosa,accepted
Deschampsia danthonioides,(Trin.) M+B942unro ex Benth.,,annual hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,Deschampsia danthonioides,,,,native,S5 (2019),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:178,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:178,,1,new 2020,unobserved,,57164,VAS,57164,Deschampsia danthonioides,accepted
Deschampsia elongata,(Hook.) Munro,,slender hair grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,Deschampsia elongata,,,,native,S5 (2015),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:179,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:179,,1,new 2020,unobserved,UBC:  Bowen Island Plot #27,52722,VAS,52722,Deschampsia elongata,accepted
Dianthus armeria ssp. armeria,L.,,Deptford pink,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Dianthus,Dianthus armeria,,,,exotic,SNA (2019),,2021-09-01,Diana Chomack,iNaturalist,93637938,,2023-08-11,kwright,iNaturalist,177892879,,3,new 2021,observed,,64541,VAS,64541,Dianthus armeria,unaccepted
Dianthus barbatus,L.,,sweet-william,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Dianthus,Dianthus barbatus,,,,exotic,SNA (2019),,2020-06-25,eschott,iNaturalist,51185604,,2024-07-07,Janae,iNaturalist,227884497,,29,new 2020,observed,,60015,VAS,60015,Dianthus barbatus,accepted
Dicentra formosa ssp. formosa,(Haw.) Walp.,,Pacific bleedingheart,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Dicentreae,Dicentra,Dicentra formosa,,Dicentra formosa formosa,,native,S5 (2019),,1961-05-25,"Katherine I. Beamish, Freek Vrugtman",UBC,V101043,,2024-10-12,julesburg,iNaturalist,247423672,,665,confirmed,observed,,51049,VAS,51049,Dicentra formosa formosa,accepted
Dichanthelium lanuginosum,(Elliott) Gould,,western witchgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Dichanthelium,Dichanthelium lanuginosum,,,,native,S5 (2019),,2018-10-09,judith holm,iNaturalist,18003157,,2024-08-21,Yann Kemper,iNaturalist,237912611,,5,new 2018,observed,syn. Dichanthelium acuminatum var. fasciculatum,148953,VAS,148953,Dichanthelium lanuginosum,accepted
Dichanthelium oligosanthes,(Schult.) Gould,,Scribner's witchgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Dichanthelium,Dichanthelium oligosanthes,,,,native,S5 (2019),,2022-08-03,Wendy Seale-Bakes,iNaturalist,129336344,,2024-05-20,Else Mikkelsen,iNaturalist,217347635,,3,new 2022,observed,,161798,VAS,161798,Dichanthelium oligosanthes,accepted
Digitalis purpurea,L.,,purple foxglove,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Digitalideae,Digitalis,Digitalis purpurea,,,,exotic,SNA (2019),,2010-06-14,Zach DuFran,iNaturalist,5897906,,2024-10-16,Sarah Wunderlich,iNaturalist,247685927,,720,confirmed,observed,,53983,VAS,53983,Digitalis purpurea,accepted
Digitaria sanguinalis,(L.) Scop.,,hairy crabgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Digitaria,Digitaria sanguinalis,,,,exotic,SNA (2019),,2019-09-06,Ben Keen,iNaturalist,32251482,,2023-07-29,Gwen L'Hirondelle,iNaturalist,175668913,,2,new 2019,observed,iNat: needs i.d.,51633,VAS,51633,Digitaria sanguinalis,accepted
Diphasiastrum alpinum,(L.) Holub,,alpine clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,Diphasiastrum,Diphasiastrum alpinum,,,,native,S5 (2015),,1912-08-11,John Davidson,UBC,V48564,,2023-08-01,phmstone,iNaturalist,176556807,,6,confirmed,observed,,82393,VAS,82393,Diphasiastrum alpinum,accepted
Diphasiastrum alpinum × sitchense,(L.) Holub,,hybrid clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,Diphasiastrum,,Diphasiastrum alpinum × sitchense,,,native,S5 (2015),,2023-07-17,John D Reynolds,iNaturalist,175828282,,2023-07-17,John D Reynolds,iNaturalist,175828282,,2,new 2023,observed,,1338738,VAS,1338738,Diphasiastrum alpinum × sitchense,accepted
Diphasiastrum complanatum,(L.) Holub,,northern ground-cedar,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,Diphasiastrum,Diphasiastrum complanatum,,,,native,S5 (2015),,1942-08-21,John Eastham,RBCM,V015082,,2024-08-05,dani_t,iNaturalist,234076303,,15,confirmed,observed,,82391,VAS,82391,Diphasiastrum complanatum,accepted
Diphasiastrum sitchense,(Rupr.) Holub,,Sitka clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,Diphasiastrum,Diphasiastrum sitchense,,,,native,S5 (2015),,1913-08-07,John Davidson,UBC,V3990,,2024-09-19,Terry M,iNaturalist,242908876,,75,confirmed,observed,,204303,VAS,204303,Diphasiastrum sitchense,accepted
Diplotaxis tenuifolia,(L.) DC.,,slime-leaf wallrocket,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Brassiceae,Diplotaxis,Diplotaxis tenuifolia,,,,exotic,SNA (2019),,2023-07-20,spack,iNaturalist,173970851,,2023-07-20,spack,iNaturalist,173970851,,1,new 2023,observed,,76665,VAS,76665,Diplotaxis tenuifolia,accepted
Dipsacus fullonum,L.,,wild teasel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Dipsacoideae,,Dipsacus,Dipsacus fullonum,,,,exotic,SNA (2019),,2021-07-19,eschott,iNaturalist,95341338,,2021-08-09,haleypartridge,iNaturalist,90593882,,6,new 2021,observed,,56002,VAS,56002,Dipsacus fullonum,accepted
Distichlis spicata,(L.) Greene,,alkali saltgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Chloridoideae,Cynodonteae,Distichlis,Distichlis spicata,,,,native,S5 (2019),,2022-09-05,Nancy Henderson,iNaturalist,133784488,,2024-01-09,John D Reynolds,iNaturalist,196468382,,3,new 2022,observed,,58372,VAS,58372,Distichlis spicata,accepted
Doronicum pardalianches,L.,,leopard's-bane,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,Doronicum pardalianches,,,,exotic,SNA (2019),,2015-04-11,Steve Ansell,iNaturalist,149108598,,2024-09-16,rorymacneil,iNaturalist,242325681,,28,confirmed,observed,,61521,VAS,61521,Doronicum pardalianches,accepted
Draba albertina,Greene,,slender draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,Draba albertina,,,,native,S5 (2019),,1912-08-15,John Davidson,UBC,V64031,,1912-08-15,John Davidson,UBC,V64031,,1,reported,unobserved,"UBC: Helm Lake, Garibaldi  PP",76687,VAS,76687,Draba albertina,accepted
Draba aurea,Vahl,,golden draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,Draba aurea,,,,native,S5 (2019),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:184,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:184,,1,new 2020,unobserved,,162008,VAS,162008,Draba aurea,accepted
Draba incerta,Pays.,,yellowstone draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,Draba incerta,,,,native,S5 (2019),,1913-07-30,W. Taylor,UBC,V12841,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:185,,3,reported,unobserved,,162030,VAS,162030,Draba incerta,accepted
Draba lonchocarpa,Rydb.,,spear-fruited draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,Draba lonchocarpa,,,,native,S5 (2019),,1965-07-01,Bruce Fraser,UBC,V158275,,1965-07-01,Bruce Fraser,UBC,V158275,,1,reported,unobserved,UBC:  Garibaldi PP (location withheld),76701,VAS,76701,Draba lonchocarpa,accepted
Draba praealta,Greene,,tall draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,Draba praealta,,,,native,S5? (2019),,1967-06-24,Pat Warrington,University of Lethbridge,,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:186,,2,reported,unobserved,"U Lethbridge: The Barrier, Garibaldi PP",76707,VAS,76707,Draba praealta,accepted
Draba stenoloba,Ledeb.,,Alaska draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,Draba stenoloba,,,,native,S5 (2019),,1913-07-30,John Davidson,UBC,V12795,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:187,,4,reported,unobserved,"UBC:  Sphinx Gl. Forelands, Garibaldi PP",162069,VAS,162069,Draba stenoloba,accepted
Draba verna,L.,,common whitlowgrass,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,Draba verna,,,,exotic,SNA (2019),,2018-09-19,Emily Bekins,iNaturalist,16692552,,2024-06-21,kellyatamanchuk,iNaturalist,224268808,,25,new 2018,observed,,55823,VAS,55823,Draba verna,accepted
Drosera anglica,Huds.,,great sundew,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,,Drosera,Drosera anglica,,,,native,S5,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:188,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:188,,1,new 2020,unobserved,,52655,VAS,52655,Drosera anglica,accepted
Drosera rotundifolia,L.,,round-leaved sundew,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,,Drosera,Drosera rotundifolia,,,,native,S5 (2015),,2008-07-15,hillanddale,iNaturalist,9551299,,2024-09-02,davinadube,iNaturalist,240127543,,199,confirmed,observed,,52658,VAS,52658,Drosera rotundifolia,accepted
Dryas drummondii,Richardson ex Hook.,,yellow mountain-avens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Dryadoideae,,Dryas,Dryas drummondii,,,,native,S5 (2019),,2022-07-16,Caroline J,iNaturalist,126830253,,2024-07-07,Joanna Gower,iNaturalist,228310856,,18,new 2022,observed,,83540,VAS,83540,Dryas drummondii,accepted
Drymocallis glandulosa,(Lindley) Rydberg,,sticky cinquefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Drymocallis,Drymocallis glandulosa,,,,native,S5 (2015),,1913-06-15,F. Perry,UBC,V80644,,2021-05-29,Sean Daniels,iNaturalist,81990847,,4,confirmed,observed,LGL record D. glandulosa var glandulosa Taxon 80678 is the only only variety of D. glandulosa known in BC,76716,VAS,76716,Drymocallis glandulosa,accepted
Dryopteris carthusiana,(Vill.) H.P. Fuchs,,spinulose wood fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,Dryopteridaceae,Dryopteridoideae,,Dryopteris,Dryopteris carthusiana,,,,native,S5 (2019),,1987-07-15,Adolf Ceska; Oldriska Ceska; Alan Anderson; Don Britton,RBCM,V188000,,2022-05-28,Steve Ansell,iNaturalist,119313446,,6,confirmed,observed,,82564,VAS,82564,Dryopteris carthusiana,accepted
Dryopteris expansa,(C. Presl) Fraser-Jenkins & Jermy,,spreading wood fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,Dryopteridaceae,Dryopteridoideae,,Dryopteris,Dryopteris expansa,,,,native,S5 (2015),,1963-05-17,L. Orloci,UBC,V101052,,2024-10-15,fjfrazier,iNaturalist,247540439,,400,confirmed,observed,,64055,VAS,64055,Dryopteris expansa,accepted
Dryopteris filix-mas,(L.) Schott,,male fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,Dryopteridaceae,Dryopteridoideae,,Dryopteris,Dryopteris filix-mas,,,,native,S5 (2019),,1960-06-09,L. Orbis,UBC,V89159,,2023-11-05,Steve Ansell,iNaturalist,190272802,,70,confirmed,observed,,76721,VAS,76721,Dryopteris filix-mas,accepted
Dulichium arundinaceum,(L.) Britton,,three-way sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Dulichieae,Dulichium,Dulichium arundinaceum,,,,native,S5,,2016-08-19,Ryan Durand,iNaturalist,69847136,,2024-09-19,Ben Keen,iNaturalist,242801283,,33,new 2016,observed,,76745,VAS,76745,Dulichium arundinaceum,accepted
