"","review_status","TO_REVIEW","taxonName","is_doubtful","is_persisting_or_waif","is_planted","critical_comments","reviewed_by","OriginalSaanichComment","HJ_comment","FPNW_comment","RevisedComment","HJ_AdditionsDeletionsTo_OriginalSaanichComment","linkName","confidence","has_voucher","n_total","n_research_grade","n_preserved_specimen","n_human_observation","n_unspecified","per_needs_id","regionally_confirmed","introduction_status","first_record_date","first_record_observer","first_record_source","first_record_ID","first_record_location","last_record_date","last_record_observer","last_record_source","last_record_ID","last_record_location","found_in_cat","found_in_cat_research_grade","commonName","family","taxonRank","linkTaxonID","annotation_status","CategoricalAbundanceProposed2026","Trend1970to2026"
"11","in progress","yes","Gentianella amarella ssp. acuta","no","no","no","No record found in RBCM herbarium database. TL. No iNaturalist records (EM)","TL, EM",NA,"Macoun Sidney 1913. Voucher at V?",NA,"Macoun Sidney 1913. Voucher at V?","Macoun Sidney 1913. Voucher at V?","Gentianella amarella","medium-low","no",NA,NA,NA,NA,NA,NA,"yes","native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Gentianaceae",NA,NA,"remaining",NA,NA
"12","in progress","yes","Hordeum jubatum ssp. jubatum","no","no","no","Review this in tandem with Hordeum jubatum ssp. intermedium (EM)",NA,"Disturbed areas; common throughout in suitable habitat; var. caespitosum (Scribn.) Hitchc. known as Bobtail Barley occurs occasionally in Victoria and the Uplands. (H. caespitosum Scrbn.)","Disturbed areas; common throughout in suitable habitat.",NA,"Disturbed areas; common throughout in suitable habitat.","[SZCZAWINSKI TEXT DELETED BY HJ: var. caespitosum (Scribn.) Hitchc. known as Bobtail Barley occurs occasionally in Victoria and the Uplands. (H. caespitosum Scrbn.)]","Hordeum jubatum jubatum","medium-low","no",NA,NA,NA,NA,NA,NA,"yes","native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Poaceae",NA,NA,"remaining",NA,NA
"13","in progress","yes","Lathyrus palustris","no","no","no","Note: No occurrences found in study area. Consider deletion. TL. confirmed in adjacent regions, plausible, but apparently no records in FSP. (EM)","TL, EM","Native of Europe; occasional; tide lands and swamps along the Coast; more common on the Gulf Islands.","Native of Europe; occasional; tide lands and swamps along the Coast.",NA,"Native of Europe; occasional; tide lands and swamps along the Coast.","[SZCZAWINSKI TEXT DELETED BY HJ: more common on the Gulf Islands.]","Lathyrus palustris","medium-low","no",NA,NA,NA,NA,NA,NA,"yes","native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Fabaceae",NA,NA,"remaining",NA,NA
"14","in progress","yes","Lathyrus sylvestris","no","no","no","New iNat obs since Harvey assessed. Increase in introduction rate or in population growth on peninsula? iNat obs supported by Stewart Wechsler: https://www.inaturalist.org/observations/135752407 (EM)","EM",NA,NA,NA,"Not known from area. Hankewich iNaturalist record Galloping Goose Trail, View Royal 2020.","Not known from area. Hankewich iNaturalist record Galloping Goose Trail, View Royal 2020.","Lathyrus sylvestris","medium-low","no",6,3,0,0,0,50,"yes","exotic","2022-09-13","mhp24_","iNaturalist","https://www.inaturalist.org/observations/135752407","48.463473, -123.471175","2025-01-31","Kyla Gunn","iNaturalist","https://www.inaturalist.org/observations/260230084","48.560342, -123.464775","yes","yes","Narrow-Leaved Everlasting-Pea","Fabaceae","species","82740","complete",NA,NA
"15","in progress","yes","Lupinus albicaulis","no","no","no","Some collections from 1927 (TL?). Plausible that it was originally in area and has slowly declined over time? (EM).","EM",NA,NA,NA,"Not known from area. Shawnigan nearest JKH 1912.","Not known from area. Shawnigan nearest JKH 1912.","Lupinus albicaulis","medium-low","yes",5,5,0,0,0,0,"no","native","1926-07-13","George Hardy","RBCM","RBCM:Botany:V040401","Victoria: Shelbourne Street","1927-06-22","George Hardy","RBCM","RBCM:Botany:V008339","Victoria: Shelbourne Street","yes","yes",NA,"Fabaceae","variety",NA,"complete",NA,NA
"16","in progress","yes","Lycopus europaeus","no","no","no","iNat observations potentially misidentified as another species of Lycopus? (EM)","EM",NA,NA,NA,"Not known from area","Not known from area","Lycopus europaeus","medium-low","no",5,2,0,0,0,60,"yes","exotic","2022-11-13","mbohm45","iNaturalist","https://www.inaturalist.org/observations/141557072","48.498759, -123.345294","2024-08-26","Kierra Charlton","iNaturalist","https://www.inaturalist.org/observations/238137458","48.494922, -123.443858","yes","yes","European Water-Horehound","Lamiaceae","species","133036","complete",NA,NA
"17","in progress","yes","Pectiantia pentandra","no","no","no","No information on any collection and FSP records no recent collection p. 62 published 1972.","TL","Moist woods and streambanks; rare; Goldstream area; not collected recently. (Pectiantia pentandra (Hook.) Rydb.)","Moist woods and streambanks; rare; Goldstream area; not collected recently.",NA,"Moist woods and streambanks; rare; Goldstream area; not collected recently.",NA,"Pectiantia pentandra","medium-low","no",NA,NA,NA,NA,NA,NA,"yes","native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Saxifragaceae",NA,NA,"remaining",NA,NA
"18","in progress","yes","Phacelia linearis","no","no","no","This seems a single collection and no occurrnces since. FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972","TL","Dry, open places; known from Mount Douglas; first recorded from the Outer Wharf, Victoria, by J. Macoun in 1913.","Dry, open places; known from Mount Douglas; first recorded from the Outer Wharf, Victoria, by J.M. Macoun in 1913.",NA,"Dry, open places; known from Mount Douglas; first recorded from the Outer Wharf, Victoria, by J. Macoun in 1913.",NA,"Phacelia linearis","medium-low","no",1,1,0,0,0,0,"yes","native","1913","J.M. Macoun","F.S.P.","p. 83","Mount Douglas; first recorded from the Outer Wharf, Victoria","1913","J.M. Macoun","F.S.P.","p. 83",NA,"yes","yes",NA,"Boraginaceae",NA,NA,"complete",NA,NA
"19","in progress","yes","Platanthera huronensis","no","no","no","Note: Habitat/Range: ""... infrequent in BC, east of the Coast-Cascade mountains."" Source: The Illustrated Flora of British Columbia. TL","TL","Swamp and wet meadows; sporadic throughout.","Swamp and wet meadows; sporadic throughout. Check V vouchers comp P. huronensis vs. P. aquilonis",NA,"Swamp and wet meadows; sporadic throughout. Check V vouchers comp P. huronensis vs. P. aquilonis","Check V vouchers comp P. huronensis vs. P. aquilonis","Platanthera huronensis","medium-low","no",NA,NA,NA,NA,NA,NA,"yes","native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Orchidaceae",NA,NA,"remaining",NA,NA
"20","in progress","yes","Populus balsamifera","no","no","no","Potentially = Populus trichocarpa (KM)",NA,NA,NA,NA,NA,NA,"Populus balsamifera","medium-low","no",24,2,0,0,0,91.67,"yes","native","2017-05-13","SeanPR","iNaturalist","https://www.inaturalist.org/observations/101070895","48.510853, -123.398758","2024-10-18",NA,"7a3679ef-5582-4aaa-81f0-8c2545cafc81","o-1024992783","48.472332, -123.404404","yes","yes","Balsam Poplar","Salicaceae","species","54838","complete",NA,NA
"21","in progress","yes","Scilla sardensis","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Scilla sardensis","medium-low","yes",3,3,0,0,0,0,"no","exotic","2006-03-13","Richard Baxter","RBCM","RBCM:Botany:V194347","Victoria; James Bay: James Bay area, park at corner of Douglas & Southgate streets","2011-03-31","Frank Lomer","BBM","D5482F8A-F4DB-644A-B2D0-079B142C6EF9","Vancouver Island, Victoria, Southgate Street, 100 m east of Douglas Street, in greenspace between Saint Ann's Academy and Beacon Hill Park","yes","yes",NA,"Asparagaceae","species","371533","complete",NA,NA
"22","in progress","yes","Solanum triflorum","no","no","no","consider removing? No records aside from the original flora.","EM","A sporadic weed in fields and disturbed sites throughout.","A sporadic weed in fields and disturbed sites throughout.",NA,"A sporadic weed in fields and disturbed sites throughout.",NA,"Solanum triflorum","medium-low","no",NA,NA,NA,NA,NA,NA,"yes","exotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Solanaceae",NA,NA,"remaining",NA,NA
"23","in progress","yes","Spinulum annotinum","no","no","no","Plausible that it occurred in region at some point. Not appearing since (EM).","EM","Wet woods; rare; collected by V. E. L. Goddard in 1929 on Horth Hill, north end of Saanich Peninsula.","Wet woods; rare; collected by V. E. L. Goddard in 1929 on Horth Hill, north end of Saanich Peninsula. Usually montain/subalpine on the coast.",NA,"Wet woods; rare; collected by V. E. L. Goddard in 1929 on Horth Hill, north end of Saanich Peninsula. Usually montain/subalpine on the coast.","Usually montain/subalpine on the coast.","Spinulum annotinum","medium-low","no",NA,NA,NA,NA,NA,NA,"yes","native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Lycopodiaceae",NA,NA,"remaining",NA,NA
"24","in progress","yes","Utricularia minor","no","no","no","Note: SFSBC = Supplement to 'Flora of Southern British Columbia' (J.K. Henry 1915) by J.W. Eastham TL, no current inat or pnwherbaria records. ","TL","Listed by J. W. Eastham in Supplement to Flora of Southern British Columbia; Beaver Lake; specimen not examined.","AC reports Second Lake, Highlands.",NA,"AC reports Second Lake, Highlands.","AC reports Second Lake, Highlands. [SZCZAWINSKI TEXT DELETED BY HJ: Listed by J. W. Eastham in Supplement to Flora of Southern British Columbia; Beaver Lake; specimen not examined.]","Utricularia minor","medium-low","no",1,1,0,0,0,0,"yes","native","1947","J.W. Eastham","SFSBC","p. 101","Beaver Lake","1947","J.W. Eastham","SFSBC","p. 101",NA,"yes","yes",NA,"Lentibulariaceae",NA,NA,"complete",NA,NA
"25","in progress","yes","Aesculus hippocastanum","no","no","no","Unsure whether established, waif, or planted","EM",NA,NA,NA,NA,NA,"Aesculus hippocastanum","medium-high","no",374,249,0,0,0,33.42,"yes","exotic","2013-04-13","metchbiodivcurator","iNaturalist","https://www.inaturalist.org/observations/20455177","48.379, -123.532","2025-04-30","awedel","iNaturalist","https://www.inaturalist.org/observations/277062164","48.432541, -123.331848","yes","yes","Horse-Chestnut","Sapindaceae","species","84298","complete",NA,NA
"26","in progress","yes","Agropyron cristatum ssp. pectinatum","no","no","no","See Illustrated Flora of B.C. note ""The three Agropyron species occurring in BC 
hybridize readily when growing together, forming morphologically 
intermediate plants. In addition, some cultivars are also intermediate, 
being derived from hybrids. Consequently, identification of Agropyron 
species in North America is often extremely difficult. In many 
instances, it may be best to refer to plants of this genus as A. 
cristatum sens. lat., the last phrase indicating no distinction is being
made between the three species."" Critical comment by ? GBIF Occurrence record includes subtaxon: A. cristatum subsp. pectinatum (TL) ","TL",NA,"Foster Central Saanich 1939. Persisting?",NA,"Foster Central Saanich 1939. Persisting?","Foster Central Saanich 1939. Persisting?","Agropyron cristatum","medium-high","yes",3,3,0,0,0,0,"yes","exotic","1939-06-17","W. Foster","RBCM","V020367","Saanichton","1939-06-17","W. R. Foster","CPNWH","b94c70fe-5974-443d-8d1b-047903f3dfc9","48.6, -123.416667","yes","yes",NA,"Poaceae","subspecies","75309","complete",NA,NA
"27","in progress","yes","Agrostis idahoensis","no","no","no","Note: PMAR = Provincial Museum Annual Report","TL","Listed in the Provincial Museum Report for 1921 as occurring in Victoria, where it was collected by Macoun; not very readily distinguishable from A. scabra.","Listed in the Provincial Museum Report for 1921 as occurring in Victoria, where it was collected by Macoun; not very readily distinguishable from A. scabra. No new records CDC Explorer.",NA,"Listed in the Provincial Museum Report for 1921 as occurring in Victoria, where it was collected by Macoun; not very readily distinguishable from A. scabra.No new records CDC Explorer.","No new records CDC Explorer.","Agrostis idahoensis","medium-high","yes",1,1,0,0,0,0,"yes","native","1921","J.M. Macoun","PMAR","p. M 16","Victoria","1921","J.M. Macoun","PMAR","p. M 16",NA,"yes","yes",NA,"Poaceae",NA,NA,"complete",NA,NA
"28","in progress","yes","Antennaria anaphaloides","no","no","no","Note: Out of range but only occurrence in the area. A.&O. Ceska Koksilah River (above Provincial Park) 1986. (TL). No observations aside from FSP? (EM)","TL, EM","Grassy foothills; similar to A. lanata; rare; Highland district.","Grassy foothills; rare; Highland district. No vouchers located.",NA,"Grassy foothills;  rare; Highland district. No vouchers located.","No vouchers located. [SZCZAWINSKI TEXT DELETED BY HJ:  similar to A. lanata]","Antennaria anaphaloides","medium-high","yes",NA,NA,NA,NA,NA,NA,"yes","native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"Asteraceae",NA,NA,"remaining",NA,NA
"29","in progress","yes","Artemisia absinthium","no","no","no",NA,"TL","Native of Europe; occasional in fields and waste places throughout.","Native of Europe; occasional in fields and waste places throughout.",NA,"Native of Europe; occasional in fields and waste places throughout.",NA,"Artemisia absinthium","medium-high","no",13,4,0,0,0,69.23,"yes","exotic","2019-04-23","woodbrick","iNaturalist","22956888","Cordova Bay Golf Course, Saanich","2021-02-18","tframe","iNaturalist","https://www.inaturalist.org/observations/69796256","48.412308, -123.371322","yes","yes","Absinthe Wormwood","Asteraceae","species","60350","complete",NA,NA
"30","in progress","yes","Calamagrostis nutkaensis","no","no","no","Check location TL. No convincing iNat records, but plausible as found in adjacent regions (EM). ","TL","Rare; known only from Victoria, where it was collected by J. G. French in 1920. (C. aleutica Trin.)","Rare; known only from Victoria, where it was collected by J. G. French in 1920. AFS additional collection Victoria. ( check at V )",NA,"Rare; known only from Victoria, where it was collected by J. G. French in 1920. AFS additional collection Victoria. ( check at V )","AFS additional collection Victoria. ( check at V )","Calamagrostis nutkaensis","medium-high","yes",2,1,0,0,0,50,"yes","native","1913-06-15","C.F. Newcombe","UBC","V018353","Triangle Island","1920-08-21","J. French","RBCM","RBCM:Botany:V006020","Victoria: near Victoria","yes","yes","Pacific Small-Reedgrass","Poaceae","species","61063","complete",NA,NA
"31","in progress","yes","Calystegia silvatica ssp. silvatica","no","no","no","likely established given the number of observations, however possible misidentifications of another bindweed like Morning glory? (EM).","EM",NA,NA,NA,"Not known from area.","Not known from area.","Calystegia silvatica","medium-high","no",351,110,0,0,0,68.66,"yes","exotic","2014-08-13","luckylaker","iNaturalist","https://www.inaturalist.org/observations/80559842","48.410867, -123.376113","2024-12-11","lucasmorton","iNaturalist","https://www.inaturalist.org/observations/254848899","48.473163, -123.340317","yes","yes","Large Bindweed","Convolvulaceae","species","75968","complete",NA,NA
"32","in progress","yes","Carex flava","no","no","no","Note: CMN = Canadian Museum of Nature Herbarium; Isotype. TL. Part of complex now with Carex viridula (oderi)? Should consult a sedge expert, this is out of my depths (EM)","TL, EM","Wet meadows; occasional; Elk and Prospect Lakes, West Saanich, Island View Beach, and the Highland district.","Wet meadows; occasional; Elk and Prospect Lakes, West Saanich, Island View Beach, and the Highland district.",NA,"Wet meadows; occasional; Elk and Prospect Lakes, West Saanich, Island View Beach, and the Highland district.",NA,"Carex flava","medium-high","yes",1,1,0,0,0,0,"yes","native","1887-07-01","J.M. Macoun","CMN","CAN10091285","Shawnigan Lake","1887-07-01","J.M. Macoun","CMN","CAN10091285",NA,"yes","yes",NA,"Cyperaceae",NA,NA,"complete",NA,NA
"33","in progress","yes","Carex kelloggii var. kelloggii","no","no","no","Examine other potential var (KM, JM,AM, EM).",NA,NA,NA,NA,NA,NA,"Carex kelloggii kelloggii","medium-high","yes",3,3,0,0,0,0,"yes","native","1908-06-13","J. Macoun","F","e2468a16-8625-4856-ac17-4c298cde7c14","Near Victoria","1966-08-18","A. S. Harrison","DES","93d2cdf1-fd5f-4abc-8a2e-5791056ab53f","E shore of Beaver Lake, V. I.","yes","yes",NA,"Cyperaceae","variety","1091404","complete",NA,NA
"34","in progress","yes","Carex pluriflora","no","no","no","Convincing assessment of single iNat observation by Micheal Stein: https://www.inaturalist.org/observations/120277566, however not yet definitive and requires confirmation upon revisiting the population/ a second opinion. Might be worth tagging another sedge expert on the observation (EM). ","EM",NA,NA,NA,NA,NA,"Carex pluriflora","medium-high","yes",2,2,0,0,0,0,"yes","native","1991-07-13","Richard Hebda; Greg Allen","RBCM","RBCM:Botany:V150311","48.586389, -123.351389","2022-06-04","Abby Hyde","iNaturalist","https://www.inaturalist.org/observations/120277566","48.663437, -123.451958","yes","yes","Several-Flowered Sedge","Cyperaceae","species","160070","complete",NA,NA
"35","in progress","yes","Carex vesicaria","no","no","no","Note: Taxonomic status as synonym  C. exsiccata var. pungens. (TL) Plausible due to observations in adjacent regions. Remove annotation for voucher as it is not within study region? (EM)","TL, EM","Margin of lake; rare; collected at North Saanich by M. C. Melburn in 1959. (C. exsiccata L. H. Bailey)","Melburn voucher not found. No herbarium records for Saanich Peninsula found.",NA,"Melburn voucher not found. No herbarium records for Saanich Peninsula found.","Melburn voucher not found. No herbarium records for Saanich Peninsula found. [SZCZAWINSKI TEXT DELETED BY HJ: Margin of lake; rare; collected at North Saanich by M. C. Melburn in 1959. (C. exsiccata L. H. Bailey)]","Carex vesicaria","medium-high","yes",1,1,0,0,0,0,"yes","native","1895-08-10","J.R. Anderson","UBC","V13902","Shawnigan","1895-08-10","J.R. Anderson","UBC","V13902",NA,"yes","yes",NA,"Cyperaceae","species",NA,"complete",NA,NA
"36","in progress","yes","Carex viridula ssp. viridula","no","no","no","Now synonymized with Carex oederi oederi which has convincing iNat obs for the region. Can digitize these manually for the catalogue. Remove annotation for voucher as it is not within study region? (EM)","EM","Bogs; rare; Elk Lake and Thetis Lake Park. (C. oederi var. viridula (Michx.) Keck.)","Bogs; rare; Elk Lake and Thetis Lake Park. Several additional records for Penninsula.",NA,"Bogs; rare; Elk Lake and Thetis Lake Park. Several additional records for Penninsula.","Several additional records for Penninsula.","Carex viridula","medium-high","yes",1,1,0,0,0,0,"yes","native","1897-08-18","W.M.M. Canby","UBC","V13990","near Shawningan Lake","1897-08-18","W.M.M. Canby","UBC","V13990",NA,"yes","yes",NA,"Cyperaceae",NA,NA,"complete",NA,NA
"37","in progress","yes","Carex vulpinoidea","no","no","no","No records since 1920? (EM)","TL, EM","Swampy ground; rare; collected at Goldstream by G. V. Copley in 1920.","Swampy ground; rare; collected at Goldstream by G. V. Copley in 1920.",NA,"Swampy ground; rare; collected at Goldstream by G. V. Copley in 1920.",NA,"Carex vulpinoidea","medium-high","yes",1,1,0,0,0,0,"yes","native","1920-06-01","G.V. Copley","UBC","V48992","Victoria","1920-06-01","G.V. Copley","UBC","V48992",NA,"yes","yes",NA,"Cyperaceae",NA,NA,"complete",NA,NA
"38","in progress","yes","Castanea sativa","no","no","no","Unsure whether planted, waif, or established (EM).","EM",NA,NA,NA,NA,NA,"Castanea sativa","medium-high","yes",22,11,0,0,0,50,"no","exotic","1989-07-13","Adolf Ceska","RBCM","RBCM:Botany:V193618","Victoria: Menzies Street","2023-07-06","Kris Westendorp","iNaturalist","https://www.inaturalist.org/observations/171389267","48.440061, -123.388594","yes","yes","Sweet Chestnut","Fagaceae","species","121763","complete",NA,NA
"39","in progress","yes","Chelidonium majus","no","no","no","Interesting converstation here: https://www.inaturalist.org/observations/59930281. Unclear whether planted or established (EM)","EM",NA,NA,NA,NA,NA,"Chelidonium majus","medium-high","no",29,22,0,0,0,24.14,"yes","exotic","2019-06-13","unknown","Pl@ntNet","q-10082984508","48.42985, -123.339613","2025-04-19","iriszhan","iNaturalist","https://www.inaturalist.org/observations/271485171","48.434341, -123.473937","yes","yes","Greater Celandine","Papaveraceae","species","55757","complete",NA,NA
"40","in progress","yes","Chenopodiastrum simplex","no","no","no","Plausile introduced species? No convincing iNat records. (EM)","EM","Native of Europe; listed is Henry's Flora as occuring in Victoria; specimen not examined. (Atriplex hybrida Crantz)",NA,NA,"Collections? None on CPNWH - many Vancouver and valley","Collections? None on CPNWH - many Vancouver and valley [SZCZAWINSKI TEXT DELETED BY HJ: Native of Europe; listed is Henry's Flora as occuring in Victoria; specimen not examined. (Atriplex hybrida Crantz)]","Chenopodiastrum hybridum","medium-high","yes",5,4,0,0,0,20,"yes","exotic","1997-09-13","Charles Knighton","CPNWH","3e7f3108-e4c1-4b8c-9ab3-cf9a4d662085","48.433333, -123.366667","Sep-97","Charles Knighton","CPNWH","3e7f3108-e4c1-4b8c-9ab3-cf9a4d662085","48.433333, -123.366667","yes","yes","Eurasian Maple-Leaved Goosefoot","Amaranthaceae","species","896902","complete",NA,NA
"41","in progress","yes","Cinna latifolia","no","no","no","Note: J.R. Anderson lived with his wife in a small house in Victoria, so I am assuming he understood there was a Mill Street in Victoria. This may still be questionable. TL. No records since? (EM)","TL, EM","Wet areas; rare; sporadic in Sidney and Goldstream. (Agrostis latifolia Trev.)","Wet areas; rare; sporadic in Sidney and Goldstream",NA,"Wet areas; rare; sporadic in Sidney and Goldstream",NA,"Cinna latifolia","medium-high","yes",1,1,0,0,0,0,"yes","native","1900-08-18","J.R. Anderson","UBC","V018599","Mill Street","1900-08-18","J.R. Anderson","UBC","V018599",NA,"yes","yes",NA,"Poaceae",NA,NA,"complete",NA,NA
