scientificName,linkName,linkTaxonID,taxonRank,reportingStatus,direct_solow_pp,has_voucher,introduction_status,phylum
Carpinus betulus,Carpinus betulus,55801,species,new,1,no,exotic,Tracheophyta
Castanea sativa,Castanea sativa,121763,species,confirmed,1,yes,exotic,Tracheophyta
Castilleja ambigua var. ambigua,Castilleja ambigua,,,,,no,native,Tracheophyta
Castilleja attenuata,Castilleja attenuata,49341,species,confirmed,1,yes,native,Tracheophyta
Castilleja exserta var. exserta,Castilleja exserta exserta,,,,,no,unknown,Tracheophyta
Castilleja hispida var. hispida,Castilleja hispida; Castilleja hispida hispida,128204; 234938,variety,confirmed,1,yes,native,Tracheophyta
Castilleja levisecta,Castilleja levisecta,128077,species,confirmed,1,yes,native,Tracheophyta
Castilleja miniata,Castilleja miniata,76148,species,confirmed,0.951923076923077,yes,native,Tracheophyta
Castilleja miniata var. dixonii,Castilleja miniata dixonii,,,unconfirmed,0.0719424460431655,yes,native,Tracheophyta
Castilleja victoriae,Castilleja victoriae,160227,species,confirmed,1,yes,native,Tracheophyta
Centaurea cyanus,Centaurea cyanus,933404,species,confirmed,1,yes,exotic,Tracheophyta
Centaurea diffusa,Centaurea diffusa,76210,species,new,1,yes,exotic,Tracheophyta
Centaurea jacea,Centaurea jacea,55713,species,new,0.992805755395683,no,exotic,Tracheophyta
Centaurea montana,Centaurea montana,48984,species,confirmed,1,yes,exotic,Tracheophyta
Centaurea nigra,Centaurea nigra,126575,species,new,0.947368421052632,yes,exotic,Tracheophyta
Centaurea nigrescens,Centaurea nigrescens,,,new,0.863309352517986,no,exotic,Tracheophyta
Centaurea paniculata,Centaurea paniculata,160278,species,unconfirmed,0.50381679389313,yes,exotic,Tracheophyta
Centaurea stoebe ssp. australis,Centaurea stoebe; Centaurea stoebe australis,76214; 521869,subspecies,confirmed,1,yes,exotic,Tracheophyta
Centaurium erythraea,Centaurium erythraea,56236,species,new,1,no,exotic,Tracheophyta
Centranthus ruber,Centranthus ruber,57283,species,new,1,yes,exotic,Tracheophyta
Cephalanthera austiniae,Cephalanthera austiniae,50706,species,confirmed,0.974358974358974,yes,native,Tracheophyta
Cerastium arvense ssp. strictum,Cerastium arvense; Cerastium arvense strictum,50851; 50847,subspecies,confirmed,1,yes,native,Tracheophyta
Cerastium brachypodum,Cerastium brachypodum,,,unconfirmed,0.762589928057554,yes,unknown,Tracheophyta
Cerastium fontanum ssp. vulgare,Cerastium holosteoides; Cerastium fontanum,1005385; 53307,subspecies,confirmed,1,yes,exotic,Tracheophyta
Cerastium glomeratum,Cerastium glomeratum,52973,species,confirmed,1,yes,exotic,Tracheophyta
Cerastium pumilum ssp. glutinosum,Cerastium pumilum,160341,species,confirmed,1,yes,exotic,Tracheophyta
Cerastium semidecandrum,Cerastium semidecandrum,160343,species,confirmed,1,yes,exotic,Tracheophyta
Cerastium tomentosum,Cerastium tomentosum,160347,species,confirmed,1,yes,exotic,Tracheophyta
Ceratophyllum demersum,Ceratophyllum demersum,60997,species,confirmed,1,yes,native,Tracheophyta
Ceratophyllum echinatum,Ceratophyllum echinatum,160354,species,unconfirmed,0.259259259259259,yes,native,Tracheophyta
Chamaenerion angustifolium,Chamaenerion angustifolium,564969,species,confirmed,1,yes,native,Tracheophyta
Chelidonium majus,Chelidonium majus,55757,species,new,1,no,exotic,Tracheophyta
Chenopodiastrum murale,Chenopodiastrum murale,514012,species,new,0.625,yes,exotic,Tracheophyta
Chenopodiastrum simplex,Chenopodiastrum hybridum,896902,species,confirmed,,yes,exotic,Tracheophyta
Chenopodium album,Chenopodium album album; Chenopodium album,181727; 58127,species,confirmed,,yes,exotic,Tracheophyta
Chimaphila menziesii,Chimaphila menziesii,,,unconfirmed,0.410071942446043,no,native,Tracheophyta
Chimaphila umbellata ssp. umbellata,Chimaphila umbellata umbellata; Chimaphila umbellata,62236,subspecies,confirmed,0.96875,yes,native,Tracheophyta
Cichorium intybus,Cichorium intybus,52913,species,new,1,no,exotic,Tracheophyta
Cicuta douglasii,Cicuta douglasii,76338,species,confirmed,1,yes,native,Tracheophyta
Cinna latifolia,Cinna latifolia,,,unconfirmed,0.100719424460432,yes,native,Tracheophyta
Circaea alpina ssp. pacifica,Circaea alpina pacifica; Circaea alpina,76342,subspecies,confirmed,1,yes,native,Tracheophyta
Cirsium arvense,Cirsium arvense arvense; Cirsium arvense,324501; 60132,species,confirmed,1,yes,exotic,Tracheophyta
Cirsium brevistylum,Cirsium brevistylum,52993,species,new,1,no,native,Tracheophyta
Cirsium edule var. macounii,Cirsium edule macounii; Cirsium edule,143675,variety,confirmed,1,yes,native,Tracheophyta
Cirsium vulgare,Cirsium vulgare,52989,species,confirmed,1,yes,exotic,Tracheophyta
Cistus creticus,Cistus creticus,64318,species,new,0.920863309352518,yes,exotic,Tracheophyta
Clarkia amoena,Clarkia amoena,61048,species,confirmed,1,yes,native,Tracheophyta
Clarkia amoena ssp. caurina,Clarkia amoena caurina,235283,subspecies,new,0.971223021582734,no,native,Tracheophyta
Clarkia amoena ssp. lindleyi,Clarkia amoena lindleyi,235285,subspecies,new,0.8,no,native,Tracheophyta
Clarkia quadrivulnera,Clarkia purpurea quadrivulnera; Clarkia purpurea,57146; 51087,species,new,0.954545454545454,yes,native,Tracheophyta
Claytonia exigua,Claytonia exigua,57233,species,confirmed,1,yes,native,Tracheophyta
Claytonia exigua ssp. exigua,Claytonia exigua exigua,57234,species,confirmed,0.981481481481482,yes,native,Tracheophyta
Claytonia exigua ssp. glauca,Claytonia exigua glauca,57229,subspecies,confirmed,,yes,native,Tracheophyta
Claytonia parviflora ssp. parviflora,Claytonia parviflora,58294,species,confirmed,1,yes,native,Tracheophyta
Claytonia perfoliata ssp. perfoliata,Claytonia perfoliata; Claytonia perfoliata perfoliata,52994; 53002,subspecies,confirmed,1,yes,native,Tracheophyta
Claytonia rubra,Claytonia rubra depressa; Claytonia rubra,79751; 64184,species,confirmed,1,yes,native,Tracheophyta
Claytonia sibirica,Claytonia sibirica,55767,species,confirmed,1,yes,native,Tracheophyta
Claytonia washingtoniana,Claytonia washingtoniana,76392,species,new,1,no,native,Tracheophyta
Clematis vitalba,Clematis vitalba,160697,species,new,1,no,exotic,Tracheophyta
Clinopodium douglasii,Clinopodium douglasii,53203,species,confirmed,1,yes,native,Tracheophyta
Clinopodium vulgare,Clinopodium vulgare,84281,species,new,0.4,no,exotic,Tracheophyta
Collinsia grandiflora,Collinsia grandiflora,76409,species,confirmed,1,yes,native,Tracheophyta
Collinsia parviflora,Collinsia parviflora,59013,species,confirmed,,yes,native,Tracheophyta
Collomia grandiflora,Collomia grandiflora,61871,species,confirmed,0.992125984251969,yes,native,Tracheophyta
Collomia heterophylla,Collomia heterophylla,52996,species,confirmed,1,yes,native,Tracheophyta
Collomia linearis,Collomia linearis,76416,species,unconfirmed,0.446808510638298,yes,native,Tracheophyta
Comandra umbellata ssp. californica,Comandra umbellata; Comandra umbellata californica,59991; 79754,subspecies,confirmed,1,yes,native,Tracheophyta
Comarum palustre,Comarum palustre,62213,species,confirmed,1,yes,native,Tracheophyta
Conioselinum pacificum,Conioselinum gmelinii,160830,species,confirmed,1,yes,native,Tracheophyta
Conium maculatum,Conium maculatum,52998,species,confirmed,1,yes,exotic,Tracheophyta
Conringia orientalis,Conringia orientalis,76429,species,unconfirmed,0.194244604316547,yes,exotic,Tracheophyta
Convolvulus arvensis,Convolvulus arvensis,53021,species,confirmed,1,yes,exotic,Tracheophyta
Conyza canadensis,Erigeron canadensis,76907,species,new,0.833333333333333,no,exotic,Tracheophyta
Corallorhiza maculata,Corallorhiza maculata,49475,species,confirmed,1,yes,native,Tracheophyta
Corallorhiza maculata var. maculata,Corallorhiza maculata maculata,80614,variety,new,0.4,no,native,Tracheophyta
Corallorhiza maculata var. occidentalis,Corallorhiza maculata occidentalis,80615,variety,new,0.933333333333333,no,native,Tracheophyta
Corallorhiza maculata var. ozettensis,Corallorhiza maculata ozettensis,452199,variety,new,0.875,no,native,Tracheophyta
Corallorhiza mertensiana,Corallorhiza mertensiana,49444,species,confirmed,1,yes,native,Tracheophyta
Corallorhiza striata var. striata,Corallorhiza striata striata; Corallorhiza striata,131215; 50708,variety,confirmed,1,yes,native,Tracheophyta
Coreopsis tinctoria,Coreopsis tinctoria,76445,species,new,0.944444444444444,yes,native,Tracheophyta
Cornus canadensis,Cornus canadensis,47192,species,new,0.2,no,native,Tracheophyta
Cornus nuttallii,Cornus nuttallii,76447,species,confirmed,1,yes,native,Tracheophyta
Cornus occidentalis,Cornus sericea occidentalis,53366,subspecies,new,0.166666666666667,no,native,Tracheophyta
Cornus stolonifera,Cornus sericea,53387,species,confirmed,1,yes,native,Tracheophyta
Cortaderia selloana,Cortaderia selloana,64240,species,new,0.88235294117647,yes,exotic,Tracheophyta
Corydalis aurea ssp. aurea,Corydalis aurea,,,unconfirmed,0.517985611510791,no,native,Tracheophyta
Corydalis flavula,Pseudofumaria alba,347008,species,new,1,no,exotic,Tracheophyta
Corydalis lutea,Pseudofumaria lutea,130800,species,new,0.833333333333333,no,exotic,Tracheophyta
Corydalis scouleri,Corydalis scouleri,,species,unconfirmed,0.525179856115108,no,native,Tracheophyta
Corylus avellana,Corylus avellana,54491,species,new,1,no,exotic,Tracheophyta
Corylus cornuta ssp. californica,Corylus cornuta; Corylus cornuta californica,53374; 53368,subspecies,confirmed,1,yes,native,Tracheophyta
Cota tinctoria,Cota tinctoria,,,,,no,exotic,Tracheophyta
Cotoneaster dammeri,Cotoneaster dammeri,160946,species,confirmed,0.9375,yes,exotic,Tracheophyta
Cotoneaster dielsianus,Cotoneaster dielsianus,498529,species,new,0.0526315789473684,yes,exotic,Tracheophyta
Cotoneaster divaricatus,Cotoneaster divaricatus,160947,species,new,1,yes,exotic,Tracheophyta
Cotoneaster franchetii,Cotoneaster franchetii,1319212,species,new,1,yes,exotic,Tracheophyta
Cotoneaster horizontalis,Cotoneaster horizontalis,53771,species,confirmed,1,yes,exotic,Tracheophyta
Cotoneaster lacteus,Cotoneaster coriaceus,411074,species,new,0.833333333333333,no,unknown,Tracheophyta
Cotoneaster qungbixiensis,Cotoneaster qungbixiensis,993678,species,new,0.0526315789473684,yes,unknown,Tracheophyta
Cotoneaster rehderi,Cotoneaster rehderi,160951,species,confirmed,1,yes,exotic,Tracheophyta
Cotoneaster salicifolius,Cotoneaster salicifolius,337820,species,new,1,no,exotic,Tracheophyta
Cotoneaster simonsii,Cotoneaster simonsii,76461,species,new,1,yes,exotic,Tracheophyta
Cotoneaster spp.,Cotoneaster,53376,species,new,0.863309352517986,yes,unknown,Tracheophyta
Cotula coronopifolia,Cotula coronopifolia,58812,species,confirmed,0.989010989010989,yes,exotic,Tracheophyta
Crassula aquatica,Crassula aquatica,58135,species,unconfirmed,0.266666666666667,yes,native,Tracheophyta
Crassula connata,Crassula connata,57016,species,confirmed,1,yes,native,Tracheophyta
Crassula tillaea,Crassula tillaea,58883,species,confirmed,1,yes,exotic,Tracheophyta
Crataegus douglasii,Crataegus douglasii,76469,species,confirmed,1,yes,native,Tracheophyta
Crataegus gaylussacia,Crataegus suksdorfii; Crataegus gaylussacia,1551517; 76470,species,confirmed,0.988372093023256,yes,native,Tracheophyta
Crataegus laevigata,Crataegus laevigata,54428,species,new,0.75,no,exotic,Tracheophyta
Crataegus monogyna var. monogyna,Crataegus monogyna,51147,complex,confirmed,1,yes,exotic,Tracheophyta
Crataegus shuswapensis,Crataegus shuswapensis,1280108,species,new,0.899280575539568,yes,native,Tracheophyta
Crepis capillaris,Crepis capillaris,54050,species,confirmed,1,yes,exotic,Tracheophyta
Crocidium multicaule,Crocidium multicaule,57524,species,confirmed,1,yes,native,Tracheophyta
Crocus × stellaris,Crocus × stellaris,487126,hybrid,new,0.833333333333333,no,exotic,Tracheophyta
Crocus vernus,Crocus vernus,55769,species,new,1,no,exotic,Tracheophyta
Cryptantha torreyana,Cryptantha torreyana,,,,,no,native,Tracheophyta
Cryptogramma acrostichoides,Cryptogramma acrostichoides,76536,species,confirmed,1,yes,native,Tracheophyta
Cuscuta cephalanthi,Cuscuta cephalanthi,52727,species,confirmed,0.985714285714286,yes,exotic,Tracheophyta
Cuscuta pacifica var. pacifica,Cuscuta pacifica pacifica; Cuscuta pacifica,80645; 76553,variety,confirmed,1,yes,native,Tracheophyta
Cuscuta pentagona,Cuscuta pentagona,,,unconfirmed,0.388489208633094,yes,native,Tracheophyta
Cyclamen hederifolium,Cyclamen hederifolium,127355,species,confirmed,1,yes,exotic,Tracheophyta
Cymbalaria muralis ssp. muralis,Cymbalaria muralis,55727,species,new,1,no,exotic,Tracheophyta
Cynodon dactylon var. dactylon,Cynodon dactylon,,,unconfirmed,0.0863309352517986,yes,exotic,Tracheophyta
Cynosurus cristatus,Cynosurus cristatus,76581,species,confirmed,1,yes,exotic,Tracheophyta
Cynosurus echinatus,Cynosurus echinatus,47695,species,confirmed,1,yes,exotic,Tracheophyta
Cyperus esculentus var. leptostachyus,Cyperus esculentus,76584,species,new,0.884892086330935,yes,exotic,Tracheophyta
Cypripedium montanum,Cypripedium montanum,,,,,no,native,Tracheophyta
Cystopteris fragilis,Cystopteris fragilis,58755,species,confirmed,1,yes,native,Tracheophyta
Cytisus procumbens,Cytisus procumbens,897622,species,new,0.272727272727273,yes,exotic,Tracheophyta
Cytisus scoparius,Cytisus scoparius,48538,species,confirmed,1,yes,exotic,Tracheophyta
Dactylis glomerata,Dactylis glomerata,52720,species,confirmed,1,yes,exotic,Tracheophyta
Danthonia californica,Danthonia californica,57165,species,confirmed,,yes,native,Tracheophyta
Danthonia intermedia ssp. intermedia,Danthonia intermedia,,species,unconfirmed,0.79136690647482,yes,native,Tracheophyta
Danthonia spicata,Danthonia spicata,130174,species,new,0.971223021582734,no,native,Tracheophyta
Danthonia unispicata,Danthonia unispicata,76605,species,unconfirmed,0.640287769784173,yes,native,Tracheophyta
Daphne laureola,Daphne laureola,127391,species,confirmed,1,yes,exotic,Tracheophyta
Daphne mezereum,Daphne mezereum,133034,species,new,0.971223021582734,no,exotic,Tracheophyta
Datura innoxia,Datura innoxia,161639,species,new,0.157894736842105,yes,exotic,Tracheophyta
Datura stramonium,Datura stramonium,55854,species,confirmed,0.977777777777778,yes,exotic,Tracheophyta
Daucus carota,Daucus carota,76610,species,confirmed,,yes,exotic,Tracheophyta
Daucus pusillus,Daucus pusillus,56726,species,confirmed,1,yes,native,Tracheophyta
Delphinium ajacis,Consolida ajacis; Delphinium ajacis,401314,species,new,1,yes,exotic,Tracheophyta
Delphinium elatum,Delphinium elatum,161664,species,new,0.964028776978417,no,exotic,Tracheophyta
Delphinium menziesii var. menziesii,Delphinium menziesii; Delphinium menziesii menziesii,153479; 153478,variety,confirmed,,yes,native,Tracheophyta
Deschampsia cespitosa,Deschampsia cespitosa,76639,species,confirmed,1,yes,native,Tracheophyta
Deschampsia danthonioides,Deschampsia danthonioides,57164,species,confirmed,0.988372093023256,yes,native,Tracheophyta
Deschampsia elongata,Deschampsia elongata,52722,species,confirmed,,yes,native,Tracheophyta
Descurainia pinnata ssp. brachycarpa,Descurainia pinnata brachycarpon; Descurainia pinnata brachycarpa,59235,subspecies,unconfirmed,0.122448979591837,yes,native,Tracheophyta
Descurainia sophia,Descurainia sophia,58074,species,confirmed,0.962025316455696,yes,exotic,Tracheophyta
Dianthus armeria ssp. armeria,Dianthus armeria,64541,species,confirmed,1,yes,exotic,Tracheophyta
Dianthus barbatus ssp. barbatus,Dianthus barbatus,60015,species,new,1,no,exotic,Tracheophyta
Dicentra formosa ssp. Formosa,Dicentra formosa,51048,species,confirmed,1,yes,native,Tracheophyta
Dichanthelium acuminatum var. fasciculatum,Dichanthelium acuminatum; Dichanthelium lanuginosum,148953,variety,unconfirmed,0.333333333333333,yes,native,Tracheophyta
Dichanthelium oligosanthes ssp. scribnerianum,Dichanthelium scribnerianum,1412639,variety,unconfirmed,0.3125,yes,native,Tracheophyta
Digitalis purpurea,Digitalis purpurea,53983,species,new,1,yes,exotic,Tracheophyta
Digitaria ischaemum,Digitaria ischaemum,76658,species,new,1,no,exotic,Tracheophyta
Digitaria sanguinalis,Digitaria sanguinalis,51633,species,new,1,no,exotic,Tracheophyta
Diplotaxis tenuifolia,Diplotaxis tenuifolia,76665,species,new,0.833333333333333,no,exotic,Tracheophyta
Dipsacus fullonum,Dipsacus fullonum,56002,species,new,1,yes,exotic,Tracheophyta
Distichlis spicata,Distichlis spicata; Distichlis spicata spicata,58372; 315501,species,confirmed,1,yes,native,Tracheophyta
Dodecatheon hendersonii,Primula hendersonii,487175,species,confirmed,1,yes,native,Tracheophyta
Doronicum pardalianches,Doronicum pardalianches,61521,species,new,1,no,exotic,Tracheophyta
Draba verna,Draba verna,55823,species,confirmed,1,yes,exotic,Tracheophyta
Drosera anglica,Drosera anglica,52655,species,unconfirmed,0.618705035971223,yes,native,Tracheophyta
Drosera rotundifolia,Drosera rotundifolia,52658,species,confirmed,0.982608695652174,yes,native,Tracheophyta
Drymocallis glandulosa var. glandulosa,Drymocallis glandulosa,76716,species,confirmed,1,yes,native,Tracheophyta
Dryopteris expansa,Dryopteris expansa,64055,species,confirmed,1,yes,native,Tracheophyta
Dulichium arundinaceum var. arundinaceum,Dulichium arundinaceum,76745,species,confirmed,0.981818181818182,yes,native,Tracheophyta
Echinochloa crus-galli,Echinochloa crus-galli,60283,species,confirmed,,yes,exotic,Tracheophyta
Echinocystis lobata,Echinocystis lobata,48618,species,unconfirmed,0.258992805755396,yes,exotic,Tracheophyta
Echium vulgare,Echium vulgare,56174,species,confirmed,1,yes,exotic,Tracheophyta
Egeria densa,Egeria densa; Elodea densa,1555600,species,confirmed,0.862745098039216,yes,exotic,Tracheophyta
Eleocharis acicularis,Eleocharis acicularis,57020,species,unconfirmed,0.690647482014388,yes,native,Tracheophyta
Eleocharis macrostachya,Eleocharis macrostachya,59064,species,unconfirmed,0.696428571428571,yes,native,Tracheophyta
Eleocharis obtusa,Eleocharis obtusa,76779,species,confirmed,0.677966101694915,yes,native,Tracheophyta
Eleocharis palustris,Eleocharis palustris,76782,complex,confirmed,1,yes,native,Tracheophyta
Eleocharis parvula,Eleocharis parvula,,,unconfirmed,0.690647482014388,yes,native,Tracheophyta
Elodea canadensis,Elodea canadensis,76793,species,confirmed,1,yes,native,Tracheophyta
Elymus glaucus,Elymus glaucus,52791,species,confirmed,1,yes,native,Tracheophyta
Elymus glaucus ssp. glaucus,Elymus glaucus glaucus,57171,subspecies,confirmed,,yes,native,Tracheophyta
Elymus glaucus ssp. virescens,Elymus glaucus virescens,61203,subspecies,unconfirmed,0.495726495726496,yes,native,Tracheophyta
Elymus hirsutus,Elymus hirsutus,162281,species,unconfirmed,0.477477477477477,yes,native,Tracheophyta
Elymus repens,Elymus repens,60284,species,confirmed,0.988888888888889,yes,exotic,Tracheophyta
Elymus trachycaulus,Elymus trachycaulus,61202,species,confirmed,0.991071428571429,yes,native,Tracheophyta
Elymus trachycaulus ssp. trachycaulus,Elymus trachycaulus trachycaulus,636557,subspecies,unconfirmed,0.558558558558559,yes,native,Tracheophyta
Empetrum nigrum,Empetrum nigrum,,species,unconfirmed,0.273381294964029,no,native,Tracheophyta
Epilobium brachycarpum,Epilobium brachycarpum,52971,species,confirmed,0.991452991452991,yes,native,Tracheophyta
Epilobium ciliatum,Epilobium ciliatum,53050,species,new,1,no,native,Tracheophyta
Epilobium ciliatum ssp. ciliatum,Epilobium ciliatum ciliatum,53045,subspecies,confirmed,-16.0940170940171,yes,native,Tracheophyta
Epilobium densiflorum,Epilobium densiflorum,57149,species,confirmed,1,yes,native,Tracheophyta
Epilobium hallianum,Epilobium hallianum,76831,species,confirmed,0.967741935483871,yes,native,Tracheophyta
Epilobium hirsutum,Epilobium hirsutum,84517,species,confirmed,0.96969696969697,yes,exotic,Tracheophyta
Epilobium hornemannii ssp. hornemannii,Epilobium hornemannii hornemannii,,,,,no,native,Tracheophyta
Epilobium minutum,Epilobium minutum; Epilobium ravenii,57150; 1490819,species,confirmed,1,yes,native,Tracheophyta
Epilobium obscurum,Epilobium obscurum,162366,species,new,0.0588235294117647,yes,exotic,Tracheophyta
Epilobium tetragonum ssp. tetragonum,Epilobium tetragonum,56622,species,new,0.2,yes,exotic,Tracheophyta
Epilobium torreyi,Epilobium torreyi,58949,species,unconfirmed,0.25,yes,native,Tracheophyta
Epipactis helleborine,Epipactis helleborine,50717,species,confirmed,,yes,exotic,Tracheophyta
Equisetum arvense,Equisetum arvense,52724,species,confirmed,1,yes,native,Tracheophyta
Equisetum hyemale ssp. affine,Equisetum hyemale affine; Equisetum hyemale,53910; 52673,subspecies,confirmed,1,yes,native,Tracheophyta
Equisetum telmateia ssp. braunii,Equisetum telmateia braunii; Equisetum telmateia,57032; 57030,subspecies,confirmed,,yes,native,Tracheophyta
Erigeron philadelphicus,Erigeron philadelphicus,67820,species,new,0.97841726618705,no,native,Tracheophyta
Eriophyllum lanatum var. leucophyllum,Eriophyllum lanatum leucophyllum; Eriophyllum lanatum,77049,variety,confirmed,1,yes,native,Tracheophyta
Erodium cicutarium ssp. cicutarium,Erodium cicutarium,47687,complex,confirmed,1,yes,exotic,Tracheophyta
Eruca vesicaria ssp. sativa,Eruca vesicaria,77058,species,new,1,no,exotic,Tracheophyta
Erysimum capitatum var. purshii,Erysimum capitatum,50628,species,new,1,no,native,Tracheophyta
Erysimum cheiranthoides,Erysimum cheiranthoides,77068,species,confirmed,,yes,exotic,Tracheophyta
Erysimum cheiri,Erysimum cheiri; Erysimum × cheiri,55892,species,confirmed,1,yes,exotic,Tracheophyta
Erythranthe alsinoides,Erythranthe alsinoides,771843,species,confirmed,1,yes,native,Tracheophyta
Erythranthe guttata,Erythranthe guttata,470643,species,confirmed,1,yes,native,Tracheophyta
Erythranthe microphylla,Erythranthe microphylla,453717,species,confirmed,1,yes,native,Tracheophyta
Erythranthe moschata,Erythranthe moschata,453644,species,confirmed,1,yes,native,Tracheophyta
Erythranthe nasuta,Erythranthe nasuta,545973,species,confirmed,1,yes,native,Tracheophyta
Erythranthe ptilota,Erythranthe ptilota,771908,species,new,0.5,no,native,Tracheophyta
Erythranthe sookensis,Erythranthe sookensis,,,unconfirmed,0.258992805755396,yes,native,Tracheophyta
Erythronium oregonum ssp. oregonum,Erythronium oregonum,59520,species,confirmed,,yes,native,Tracheophyta
Erythronium revolutum,Erythronium revolutum,77081,species,new,1,no,native,Tracheophyta
Eschscholzia californica,Eschscholzia californica californica; Eschscholzia californica,48225,species,confirmed,1,yes,exotic,Tracheophyta
Eucephalus engelmannii,Eucephalus engelmannii,,,unconfirmed,0.20863309352518,yes,native,Tracheophyta
Euonymus europaeus,Euonymus europaeus,55847,species,new,1,no,exotic,Tracheophyta
Eupatorium cannabinum,Eupatorium cannabinum,55976,species,new,0.5,no,exotic,Tracheophyta
Euphorbia cyparissias,Euphorbia cyparissias,55766,species,new,1,no,exotic,Tracheophyta
Euphorbia exigua,Euphorbia exigua,162822,species,unconfirmed,0.0697674418604651,yes,exotic,Tracheophyta
Euphorbia helioscopia,Euphorbia helioscopia,56292,species,new,0.888888888888889,yes,exotic,Tracheophyta
Euphorbia lathyris,Euphorbia lathyris,77114,species,new,1,no,exotic,Tracheophyta
Euphorbia maculata,Euphorbia maculata,58893,species,new,0.941176470588235,yes,exotic,Tracheophyta
Euphorbia myrsinites,Euphorbia myrsinites,82511,species,new,1,no,exotic,Tracheophyta
Euphorbia oblongata,Euphorbia oblongata,77117,species,new,1,yes,exotic,Tracheophyta
Euphorbia peplus,Euphorbia peplus,57036,species,new,1,yes,exotic,Tracheophyta
Euphorbia virgata,Euphorbia virgata,77120,species,new,0.842105263157895,yes,exotic,Tracheophyta
Eurybia radulina,Eurybia radulina,52974,species,confirmed,0.964285714285714,yes,native,Tracheophyta
Euthamia graminifolia,Euthamia graminifolia,130989,species,new,0.166666666666667,no,native,Tracheophyta
Fallopia bohemica,Reynoutria × bohemica,850784,hybrid,new,0.833333333333333,no,exotic,Tracheophyta
Fallopia convolvulus,Fallopia convolvulus,77129,species,confirmed,1,yes,exotic,Tracheophyta
Fallopia japonica,Reynoutria japonica,914922,species,new,1,no,exotic,Tracheophyta
Fallopia sachalinensis,Reynoutria sachalinensis,593040,species,new,1,yes,exotic,Tracheophyta
Festuca ammobia,Festuca ammobia,181756,species,confirmed,1,yes,native,Tracheophyta
Festuca idahoensis,Festuca idahoensis,61200,species,confirmed,0.984848484848485,yes,native,Tracheophyta
Festuca occidentalis,Festuca occidentalis,59091,species,confirmed,1,yes,native,Tracheophyta
Festuca roemeri var. roemeri,Festuca roemeri,162962,species,confirmed,1,yes,native,Tracheophyta
Festuca rubra,Festuca rubra,61061,species,confirmed,1,yes,native,Tracheophyta
Festuca subulata,Festuca subulata,77145,species,confirmed,0.963963963963964,yes,native,Tracheophyta
Festuca subuliflora,Festuca subuliflora,77146,species,confirmed,0.992753623188406,yes,native,Tracheophyta
Festuca trachyphylla,Festuca trachyphylla,77148,species,confirmed,0.884057971014493,yes,exotic,Tracheophyta
Festuca valesiaca,Festuca valesiaca,,,,,no,exotic,Tracheophyta
Ficaria verna,Ficaria verna,204321,species,new,1,yes,exotic,Tracheophyta
Filago vulgaris,Filago vulgaris; Filago germanica,634625,species,new,0.9,yes,exotic,Tracheophyta
Foeniculum vulgare,Foeniculum vulgare,53052,species,confirmed,1,yes,exotic,Tracheophyta
Fragaria × ananassa,Fragaria × ananassa,55366,hybrid,new,0.6,no,unknown,Tracheophyta
Fragaria chiloensis,Fragaria chiloensis,55367,species,confirmed,1,yes,native,Tracheophyta
Fragaria vesca,Fragaria vesca,50298,species,confirmed,1,yes,native,Tracheophyta
Fragaria vesca ssp. californica,Fragaria vesca californica,,,unconfirmed,0.0719424460431655,yes,native,Tracheophyta
Fragaria virginiana,Fragaria virginiana,77155,species,confirmed,1,yes,native,Tracheophyta
Fragaria virginiana ssp. glauca,Fragaria virginiana glauca,,,unconfirmed,0.18705035971223,yes,native,Tracheophyta
Frangula purshiana ssp. purshiana,Frangula purshiana,77156,species,confirmed,1,yes,native,Tracheophyta
Fraxinus excelsior,Fraxinus excelsior,125440,species,confirmed,1,yes,exotic,Tracheophyta
Fraxinus latifolia,Fraxinus latifolia,63878,species,confirmed,1,yes,exotic,Tracheophyta
Fraxinus ornus,Fraxinus ornus,319281,species,new,1,yes,exotic,Tracheophyta
Fraxinus pennsylvanica,Fraxinus pennsylvanica,54808,species,new,0.875,yes,exotic,Tracheophyta
Fritillaria affinis,Fritillaria affinis,50618,species,confirmed,1,yes,native,Tracheophyta
Fritillaria camschatcensis,Fritillaria camschatcensis,128770,species,new,1,no,native,Tracheophyta
Fumaria muralis,Fumaria muralis,129075,species,new,1,no,exotic,Tracheophyta
Fumaria officinalis,Fumaria officinalis,53785,species,confirmed,0.961538461538461,yes,exotic,Tracheophyta
Gaillardia aristata,Gaillardia aristata,77183,species,new,1,no,native,Tracheophyta
Galanthus elwesii,Galanthus elwesii,57514,species,new,1,yes,exotic,Tracheophyta
Galega officinalis,Galega officinalis,157393,species,new,0.4,no,exotic,Tracheophyta
Galeopsis bifida,Galeopsis bifida,55967,species,new,0.625,no,exotic,Tracheophyta
Galeopsis tetrahit,Galeopsis tetrahit,,,new,0.964028776978417,unknown,exotic,Tracheophyta
Galium aparine,Galium aparine,53059,complex,confirmed,1,yes,native,Tracheophyta
Galium boreale,Galium boreale,77188,species,confirmed,0.973684210526316,yes,native,Tracheophyta
Galium murale,Galium murale,59005,species,new,0.888888888888889,yes,exotic,Tracheophyta
Galium odoratum,Galium odoratum,56065,species,new,1,yes,exotic,Tracheophyta
Galium spurium,Galium spurium,208784,species,new,1,yes,exotic,Tracheophyta
