scientificName,link_name,link_taxon_id,taxon_rank,infrataxon_status,provenance_status,provincial_concern,introduction_status,reportingStatus,solow_EP,phylum
Fumaria muralis,Fumaria muralis,129075,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Galium verum,Galium verum,84328,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.139,Tracheophyta
Geranium bicknellii,Geranium bicknellii,77251,species,non-infrataxon,voucher,secure,native,confirmed,0.051,Tracheophyta
Geranium carolinianum,Geranium carolinianum,58917,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Geranium pusillum,Geranium pusillum,60204,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Gilia capitata var. capitata,Gilia capitata,57793,species,non-infrataxon,voucher,unknown,native,confirmed,0.006,Tracheophyta
Githopsis specularioides,Githopsis specularioides,58867,species,non-infrataxon,voucher,concern,native,unconfirmed,0.254,Tracheophyta
Glyceria elata,Glyceria elata,77289,species,non-infrataxon,voucher,secure,native,unconfirmed,0.373,Tracheophyta
Glyceria maxima,Glyceria maxima,163336,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.025,Tracheophyta
Gratiola ebracteata,Gratiola ebracteata,77300,species,non-infrataxon,voucher,secure,native,confirmed,0.025,Tracheophyta
Hedera hibernica,Hedera hibernica,163549,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Helianthus tuberosus,Helianthus tuberosus,122970,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.114,Tracheophyta
Heracleum mantegazzianum,Heracleum mantegazzianum,130228,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Heracleum sphondylium,Heracleum sphondylium,163682,species,non-infrataxon,voucher,unknown,exotic,new,0.042,Tracheophyta
Hieracium maculatum,Hieracium maculatum,163791,species,non-infrataxon,voucher,unknown,exotic,new,0.114,Tracheophyta
Honckenya peploides ssp. major,Honckenya peploides major; Honckenya peploides,129448; 129446,subspecies,non-infrataxon,voucher; no_voucher,secure,native,confirmed,0.006,Tracheophyta
Hordeum murinum ssp. leporinum,Hordeum murinum leporinum,52795,species,infrataxon,voucher,unknown,exotic,unconfirmed,0.198,Tracheophyta
Hyacinthoides hispanica,Hyacinthoides hispanica,57635,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Hyacinthoides non-scripta,Hyacinthoides non-scripta,56132,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Isolepis cernua,Isolepis cernua,60257,species,non-infrataxon,voucher,secure,native,confirmed,0.024,Tracheophyta
Jacobaea maritima,Jacobaea maritima,357682,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Juncus bulbosus,Juncus bulbosus,132323,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.262,Tracheophyta
Juncus covillei,Juncus covillei,77561,species,non-infrataxon,voucher,secure,native,unconfirmed,0.296,Tracheophyta
Juncus effusus ssp. effusus,Juncus effusus effusus,79961,subspecies,infrataxon,voucher,unknown,native,new,0.081,Tracheophyta
Juncus effusus ssp. pacificus,Juncus effusus pacificus,57108,subspecies,infrataxon,voucher,secure,native,unconfirmed,0.467,Tracheophyta
Juncus laccatus,Juncus laccatus,77577,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.345,Tracheophyta
Kopsiopsis hookeri,Kopsiopsis hookeri,77611,species,non-infrataxon,no_voucher,secure,native,new,0.007,Tracheophyta
Lamium galeobdolon,Lamium galeobdolon; Lamium galeobdolon argentatum,204339; 707386,,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Lepidium densiflorum,Lepidium densiflorum,77666,species,non-infrataxon,voucher,secure,native,confirmed,0.052,Tracheophyta
Lepidium oxycarpum,Lepidium oxycarpum,60155,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.613,Tracheophyta
Leptosiphon bicolor,Leptosiphon bicolor,64245,species,non-infrataxon,voucher,unknown,native,confirmed,0.007,Tracheophyta
Linaria vulgaris,Linaria vulgaris,50790,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Ludwigia palustris,Ludwigia palustris,60221,species,non-infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
Lupinus microcarpus var. microcarpus,Lupinus microcarpus densiflorus,768218; 241537,variety,infrataxon,no_voucher,concern,native,confirmed,0.44,Tracheophyta
Luzula comosa var. laxa,Luzula comosa laxa,81080,variety,infrataxon,voucher,secure,native,confirmed,0.031,Tracheophyta
Luzula macrantha,Luzula macrantha,890625,species,non-infrataxon,voucher,secure,native,confirmed,0.024,Tracheophyta
Luzula parviflora ssp. fastigiata,Luzula parviflora,77897,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Lycopus uniflorus,Lycopus uniflorus,77915,species,non-infrataxon,voucher,secure,native,confirmed,0.025,Tracheophyta
Lysimachia europaea,Lysimachia borealis; Lysimachia europaea,204174; 716947,,non-infrataxon,voucher,unknown,native,confirmed,0.088,Tracheophyta
Lysimachia maritima,Lysimachia maritima,204175,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Lysimachia minima,Lysimachia minima,204353,species,non-infrataxon,voucher,secure,native,unconfirmed,0.324,Tracheophyta
Lysimachia nummularia,Lysimachia nummularia,51809,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Lysimachia punctata,Lysimachia punctata,51808,species,non-infrataxon,no_voucher,unknown,exotic,new,0.007,Tracheophyta
Lysimachia thyrsiflora,Lysimachia thyrsiflora,77917,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Madia exigua,Madia exigua,56971,species,non-infrataxon,voucher,secure,native,confirmed,0.033,Tracheophyta
Medicago sativa ssp. sativa,Medicago sativa,57057,species,non-infrataxon,no_voucher,unknown,exotic,new,0.007,Tracheophyta
Melica harfordii,Melica harfordii,77983,species,non-infrataxon,voucher,secure,native,unconfirmed,0.175,Tracheophyta
Melilotus albus,Melilotus albus,58907,species,non-infrataxon,no_voucher,unknown,exotic,new,0.007,Tracheophyta
Melilotus officinalis,Melilotus officinalis,57066,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Mentha aquatica,Mentha aquatica,77990,species,non-infrataxon,voucher,unknown,exotic,new,0.031,Tracheophyta
Mentha pulegium,Mentha pulegium,57116,species,non-infrataxon,no_voucher,unknown,exotic,new,0.007,Tracheophyta
Mentha spicata,Mentha spicata,62652,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Monotropa hypopitys,Monotropa hypopitys,59986,species,non-infrataxon,voucher,secure,native,confirmed,0.03,Tracheophyta
Myosotis scorpioides,Myosotis scorpioides,49130,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.012,Tracheophyta
Myosotis sylvatica,Myosotis sylvatica,55826,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Myriophyllum spicatum,Myriophyllum spicatum,78157,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Nanozostera japonica,Zostera japonica,79558,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Nothochelone nemorosa,Nothochelone nemorosa,78231,species,non-infrataxon,voucher,secure,native,unknown,,Tracheophyta
Oenothera biennis,Oenothera biennis,62207,species,non-infrataxon,voucher,unknown,exotic,new,0.103,Tracheophyta
Oenothera glazioviana,Oenothera glazioviana,62208,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.108,Tracheophyta
Osmorhiza purpurea,Osmorhiza purpurea,78296,species,non-infrataxon,voucher,secure,native,unconfirmed,0.313,Tracheophyta
Oxalis dillenii,Oxalis dillenii,84772,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.176,Tracheophyta
Oxybasis rubra var. humilis,Oxybasis rubra; Oxybasis rubra humilis,931679; 931680,variety,non-infrataxon,voucher; no_voucher,secure,native,confirmed,0.012,Tracheophyta
Oxytropis campestris,Oxytropis campestris spicata; Oxytropis campestris,241915; 154238,,non-infrataxon,voucher; no_voucher,secure,native,confirmed,0.007,Tracheophyta
Packera macounii,Packera macounii,78325,species,non-infrataxon,voucher,concern,native,confirmed,0.024,Tracheophyta
Papaver dubium,Papaver dubium,55918,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.032,Tracheophyta
Pentaglottis sempervirens,Pentaglottis sempervirens,166466,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Phragmites australis,Phragmites australis,64237,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.525,Tracheophyta
Phragmites australis ssp. americanus,Phragmites australis americanus,205873,subspecies,infrataxon,voucher,secure,native,new,0.036,Tracheophyta
Phragmites australis ssp. australis,Phragmites australis australis,556361,subspecies,infrataxon,voucher,unknown,exotic,unconfirmed,0.181,Tracheophyta
Phyllospadix scouleri,Phyllospadix scouleri,78561,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Pinus monticola,Pinus monticola,68084,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Platanthera dilatata,Platanthera dilatata,78623,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.533,Tracheophyta
Platanthera ephemerantha,Platanthera ephemerantha,473217,species,non-infrataxon,no_voucher,concern,native,new,0.013,Tracheophyta
Platanthera stricta,Platanthera stricta,50739,species,non-infrataxon,voucher,secure,native,unconfirmed,0.504,Tracheophyta
Plectritis brachystemon,Plectritis congesta brachystemon,57787,subspecies,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Plectritis macrocera,Plectritis macrocera,57287,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Pleuropogon refractus,Pleuropogon refractus,78629,species,non-infrataxon,voucher,secure,native,new,0.012,Tracheophyta
Poa howellii,Poa howellii,52812,species,non-infrataxon,voucher,secure,native,unconfirmed,0.428,Tracheophyta
Poa macrantha,Poa macrantha,78647,species,non-infrataxon,voucher,secure,native,unconfirmed,0.409,Tracheophyta
Poa palustris,Poa palustris,78650,species,non-infrataxon,voucher,secure,native,unconfirmed,0.477,Tracheophyta
Polycarpon tetraphyllum ssp. tetraphyllum,Polycarpon tetraphyllum,58876,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.019,Tracheophyta
Polygonum douglasii,Polygonum douglasii douglasii; Polygonum douglasii,238102; 78682,,non-infrataxon,voucher,secure,native,unconfirmed,0.19,Tracheophyta
Polypodium hesperium,Polypodium hesperium,78693,species,non-infrataxon,voucher,secure,native,unconfirmed,0.289,Tracheophyta
Populus trichocarpa,Populus trichocarpa,78699,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Potamogeton amplifolius,Potamogeton amplifolius,78705,species,non-infrataxon,voucher,secure,native,confirmed,0.018,Tracheophyta
Potamogeton praelongus,Potamogeton praelongus,78713,species,non-infrataxon,voucher,secure,native,confirmed,0.037,Tracheophyta
Potentilla anserina ssp. anserina,Argentina anserina,158615,species,infrataxon,no_voucher,unknown,native,new,0.008,Tracheophyta
Potentilla anserina ssp. pacifica,Argentina pacifica,524900,species,infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Potentilla gracilis,Potentilla gracilis,78728,species,non-infrataxon,no_voucher,unknown,native,confirmed,0,Tracheophyta
Potentilla norvegica,Potentilla norvegica,55732,species,non-infrataxon,voucher,secure,native,confirmed,0.025,Tracheophyta
Potentilla recta,Potentilla recta,62211,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Poteridium annuum,Sanguisorba annua; Sanguisorba occidentalis,168411,,non-infrataxon,unknown; voucher,secure,native,unconfirmed,0.289,Tracheophyta
Prunella vulgaris var. lanceolata,Prunella vulgaris lanceolata,60213,subspecies,infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Prunella vulgaris var. vulgaris,Prunella vulgaris vulgaris,81287,subspecies,infrataxon,voucher,unknown,exotic,new,0.019,Tracheophyta
Prunus avium,Prunus avium,61964,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Prunus cerasifera,Prunus cerasifera,55837,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Prunus emarginata,Prunus emarginata,63905,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Prunus laurocerasus,Prunus laurocerasus,61432,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Prunus virginiana,Prunus virginiana demissa; Prunus virginiana,63900; 54835,,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Pseudognaphalium luteoalbum,Helichrysum luteoalbum; Pseudognaphalium luteoalbum,53083,,non-infrataxon,unknown; voucher,unknown,exotic,new,0.041,Tracheophyta
Pseudognaphalium stramineum,Pseudognaphalium stramineum,53089,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Pterospora andromedea,Pterospora andromedea,52118,species,non-infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
Pyracantha coccinea,Pyracantha coccinea,57254,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Pyrola aphylla,Pyrola aphylla,630966,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Pyrola asarifolia,Pyrola asarifolia,78793,species,non-infrataxon,no_voucher,unknown,native,new,0.007,Tracheophyta
Ranunculus acris,Ranunculus acris,56064,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Ranunculus aquatilis,Ranunculus aquatilis,78817,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.199,Tracheophyta
Ranunculus bulbosus,Ranunculus bulbosus,78820,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.071,Tracheophyta
Ranunculus sceleratus,Ranunculus sceleratus,59301,species,non-infrataxon,voucher,unknown,native,confirmed,0.012,Tracheophyta
Rhododendron groenlandicum,Rhododendron groenlandicum,180413,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Rosa canina,Rosa canina,55884,species,non-infrataxon,no_voucher,unknown,exotic,new,0.007,Tracheophyta
Rosa rubiginosa var. rubiginosa,Rosa rubiginosa,78886,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Rosa rugosa,Rosa rugosa,83653,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Rumex conglomeratus,Rumex conglomeratus,57215,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.043,Tracheophyta
Rumex maritimus ssp. fueginus,Rumex maritimus; Rumex fueginus,78903,subspecies,non-infrataxon,unknown; voucher,secure,native,unconfirmed,0.349,Tracheophyta
Rumex obtusifolius,Rumex obtusifolius,63371,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Ruppia maritima,Ruppia maritima,61090,species,non-infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
Sabulina pusilla,Sabulina pusilla,836888,species,non-infrataxon,voucher,concern,native,unconfirmed,0.254,Tracheophyta
Sagina apetala,Sagina apetala,56998,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.144,Tracheophyta
Sagina maxima,Sagina maxima,78922,species,non-infrataxon,voucher,unknown,native,new,0.018,Tracheophyta
Sagina maxima ssp. crassicaulis,Sagina maxima crassicaulis,80178,subspecies,infrataxon,voucher,secure,native,confirmed,0.03,Tracheophyta
Sagina procumbens,Sagina procumbens,55667,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Sagittaria latifolia,Sagittaria latifolia,48070,variety,non-infrataxon,voucher,secure,native,unconfirmed,0.231,Tracheophyta
Salix hookeriana,Salix hookeriana,78941,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Salix prolixa,Salix prolixa,78952,species,non-infrataxon,voucher,secure,native,confirmed,0.049,Tracheophyta
Salix scouleriana,Salix scouleriana,71076,species,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Salix sitchensis,Salix sitchensis,61100,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Sambucus cerulea,Sambucus cerulea,143799,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Sceptridium multifidum,Sceptridium multifidum,78990,species,non-infrataxon,voucher,secure,native,confirmed,0.132,Tracheophyta
Schedonorus arundinaceus,Lolium arundinaceum,164708,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Schoenoplectus acutus,Schoenoplectus acutus,59205,species,non-infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,78998,species,non-infrataxon,voucher,secure,native,confirmed,0.018,Tracheophyta
Scleranthus annuus ssp. annuus,Scleranthus annuus annuus; Scleranthus annuus,80182; 61935,subspecies,non-infrataxon,voucher; no_voucher,unknown,exotic,confirmed,0.019,Tracheophyta
Scutellaria galericulata,Scutellaria galericulata,79016,species,non-infrataxon,voucher,secure,native,unconfirmed,0.587,Tracheophyta
Secale cereale,Secale cereale,79021,species,non-infrataxon,voucher,unknown,exotic,new,0.114,Tracheophyta
Sedum oreganum,Sedum oreganum oreganum; Sedum oreganum,238481; 79030,,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Sedum rupestre,Petrosedum forsterianum; Petrosedum rupestre,710296; 734805,,non-infrataxon,no_voucher,unknown,unknown,new,0,Tracheophyta
Senecio sylvaticus,Senecio sylvaticus,53210,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Silene antirrhina,Silene antirrhina,58780,species,non-infrataxon,voucher,secure,native,unconfirmed,0.283,Tracheophyta
Silene menziesii,Silene menziesii,79111,species,non-infrataxon,voucher,secure,native,confirmed,0.018,Tracheophyta
Silene vulgaris,Silene vulgaris,55721,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.012,Tracheophyta
Sisyrinchium californicum,Sisyrinchium californicum,60550,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Sisyrinchium littorale,Sisyrinchium littorale,169021,species,non-infrataxon,voucher,secure,native,unconfirmed,0.328,Tracheophyta
Solanum americanum,Solanum americanum,59035,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.127,Tracheophyta
Solidago lepida var. salebrosa,Solidago lepida salebrosa,81375,variety,infrataxon,voucher,secure,native,unconfirmed,0.163,Tracheophyta
Sparganium emersum,Sparganium emersum,62575,species,non-infrataxon,voucher,secure,native,confirmed,0.018,Tracheophyta
Sparganium eurycarpum,Sparganium eurycarpum,63348,species,non-infrataxon,voucher,secure,native,unconfirmed,0.277,Tracheophyta
Sparganium natans,Sparganium natans,79162,species,non-infrataxon,voucher,secure,native,confirmed,0.024,Tracheophyta
Spergularia rupicola,Spergularia rupicola,129267,species,non-infrataxon,voucher,unknown,exotic,new,0.078,Tracheophyta
Spergularia salina,Spergularia marina,79169,species,non-infrataxon,voucher,unknown,native,confirmed,0.012,Tracheophyta
Spirodela polyrrhiza,Spirodela polyrhiza,57867,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Stachys arvensis,Stachys arvensis,169309,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Stachys byzantina,Stachys byzantina,127480,species,non-infrataxon,no_voucher,unknown,exotic,new,0.013,Tracheophyta
Stellaria pallida,Stellaria apetala,867483,species,non-infrataxon,voucher,unknown,exotic,new,0.085,Tracheophyta
Symphoricarpos mollis var. hesperius,Symphoricarpos mollis hesperius,778403,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Taraxacum erythrospermum,Taraxacum erythrospermum,79317,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Thalictrum occidentale,Thalictrum occidentale,79343,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Tiarella trifoliata var. trifoliata,Tiarella trifoliata trifoliata,51649,variety,infrataxon,no_voucher,secure,native,new,0.007,Tracheophyta
Tolmiea menziesii,Tolmiea menziesii,128848,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Tragopogon dubius,Tragopogon dubius,54143,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Trifolium campestre,Trifolium campestre,57076,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.032,Tracheophyta
Trifolium dichotomum,Trifolium dichotomum,61179,species,non-infrataxon,voucher,concern,native,unconfirmed,0.55,Tracheophyta
Trifolium incarnatum,Trifolium incarnatum,64268,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Triglochin concinna var. concinna,Triglochin concinna; Triglochin concinna concinna,79435; 81439,variety,non-infrataxon,voucher,concern,native,unconfirmed,0.382,Tracheophyta
Triodanis perfoliata ssp. perfoliata,Triodanis perfoliata,64293,species,non-infrataxon,voucher,secure,native,unconfirmed,0.19,Tracheophyta
Trisetum canescens,Trisetum canescens; Graphephorum canescens,1538928,,non-infrataxon,unknown; voucher,secure,native,unconfirmed,0.332,Tracheophyta
Trisetum cernuum,Trisetum cernuum; Graphephorum cernuum,1538926,,non-infrataxon,unknown; voucher,secure,native,unconfirmed,0.247,Tracheophyta
Urtica gracilis ssp. gracilis,Urtica dioica; Urtica gracilis,51884; 141854,subspecies,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Vaccinium ovatum,Vaccinium ovatum,48349,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Vaccinium oxycoccos,Vaccinium oxycoccos,126560,species,non-infrataxon,voucher,secure,native,new,0.006,Tracheophyta
Veratrum viride var. eschscholzianum,Veratrum viride,79484,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.414,Tracheophyta
Veronica chamaedrys,Veronica chamaedrys,51610,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Veronica hederifolia,Veronica hederifolia,56129,species,non-infrataxon,voucher,unknown,exotic,new,0.012,Tracheophyta
Veronica officinalis,Veronica officinalis,129020,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Veronica peregrina var. xalapensis,Veronica peregrina xalapensis,491173,subspecies,infrataxon,voucher,secure,native,confirmed,0.018,Tracheophyta
Vicia nigricans var. gigantea,Vicia gigantea,53322,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Vicia tetrasperma,Vicia tetrasperma,57310,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.012,Tracheophyta
Vicia villosa,Vicia villosa,57317,species,non-infrataxon,no_voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Vinca minor,Vinca minor,55844,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Viola glabella,Viola glabella,71113,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Viola howellii,Viola howellii,79510,species,non-infrataxon,voucher,concern,native,unconfirmed,0.496,Tracheophyta
Vulpia microstachys,Festuca microstachys pauciflora,1377236,variety,infrataxon,voucher,secure,native,confirmed,0.114,Tracheophyta
Vulpia microstachys var. pauciflora,Festuca microstachys,77138,species,infrataxon,voucher,unknown,native,confirmed,0.142,Tracheophyta
Abies grandis,Abies grandis,63690,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Abronia latifolia,Abronia latifolia,52618,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Acer glabrum var. douglasii,Acer glabrum douglasii; Acer glabrum,181694; 63078,variety,non-infrataxon,voucher,secure,native,confirmed,0.008,Tracheophyta
Acer macrophyllum,Acer macrophyllum,48227,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Achillea filipendulina,Achillea filipendulina,157924,species,non-infrataxon,voucher,unknown,exotic,new,0.007,Tracheophyta
Achillea millefolium complex,Achillea millefolium,52821,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Achlys triphylla,Achlys triphylla,75263,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Achnatherum lemmonii ssp. lemmonii,Eriocoma lemmonii lemmonii; Eriocoma lemmonii,1220756; 1220721,subspecies,non-infrataxon,voucher,unknown,native,confirmed,0.031,Tracheophyta
Acmispon americanus var. americanus,Acmispon americanus americanus; Acmispon americanus,57053; 57049,variety,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Acmispon denticulatus,Acmispon denticulatus,60194,species,non-infrataxon,voucher,secure,native,confirmed,0.013,Tracheophyta
Acmispon parviflorus,Acmispon parviflorus,57048,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Adenocaulon bicolor,Adenocaulon bicolor,56854,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Agoseris grandiflora var. leptophylla,Agoseris grandiflora leptophylla; Agoseris grandiflora,52828,variety,non-infrataxon,unknown; voucher,secure,native,confirmed,0,Tracheophyta
Agoseris heterophylla var. heterophylla,Agoseris heterophylla,56856,species,non-infrataxon,voucher,secure,native,confirmed,0.013,Tracheophyta
Agrostis exarata,Agrostis exarata,59088,species,non-infrataxon,voucher,secure,native,confirmed,0.399,Tracheophyta
Agrostis gigantea,Agrostis gigantea,75314,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.688,Tracheophyta
Agrostis microphylla,Agrostis microphylla,60277,species,non-infrataxon,voucher,secure,native,confirmed,0.035,Tracheophyta
Agrostis pallens,Agrostis pallens,52692,species,non-infrataxon,voucher,secure,native,confirmed,0.155,Tracheophyta
Agrostis scabra,Agrostis scabra,75319,species,non-infrataxon,voucher,secure,native,unconfirmed,0.329,Tracheophyta
Agrostis stolonifera,Agrostis stolonifera,69931,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.014,Tracheophyta
Aira caryophyllea,Aira caryophyllea,52694,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Aira praecox,Aira praecox,61058,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Alliaria petiolata,Alliaria petiolata,56061,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Allium acuminatum,Allium acuminatum,59782,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Allium amplectens,Allium amplectens,60267,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Allium cernuum,Allium cernuum,116364,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Allium geyeri var. tenerum,Allium geyeri tenerum; Allium geyeri,239144; 148938,variety,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Allium vineale ssp. vineale,Allium vineale,75371,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Allotropa virgata,Allotropa virgata,62481,species,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Alnus rubra,Alnus rubra,56034,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Alopecurus carolinianus,Alopecurus carolinianus,75382,species,non-infrataxon,voucher,concern,native,confirmed,0.013,Tracheophyta
Alopecurus geniculatus,Alopecurus geniculatus,71140,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.326,Tracheophyta
Alopecurus pratensis,Alopecurus pratensis,71141,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Amaranthus retroflexus,Amaranthus retroflexus,58776,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.025,Tracheophyta
Ambrosia chamissonis,Ambrosia chamissonis,71135,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Amelanchier alnifolia var. semiintegrifolia,Amelanchier alnifolia semiintegrifolia; Amelanchier alnifolia alnifolia; Amelanchier alnifolia,239166; 75415,variety,non-infrataxon,unknown; voucher,secure,native,confirmed,0,Tracheophyta
