"scientificName","linkName","linkTaxonID","taxonRank","reportingStatus","direct_solow_pp","phylum"
Chenopodium album,Chenopodium album album; Chenopodium album,181727; 58127,species,confirmed,,Tracheophyta
Chimaphila menziesii,Chimaphila menziesii,,,unconfirmed,0.410071942446043,Tracheophyta
Chimaphila umbellata ssp. umbellata,Chimaphila umbellata umbellata; Chimaphila umbellata,62236,subspecies,confirmed,0.96875,Tracheophyta
Cichorium intybus,Cichorium intybus,52913,species,new,1,Tracheophyta
Cicuta douglasii,Cicuta douglasii,76338,species,confirmed,1,Tracheophyta
Cinna latifolia,Cinna latifolia,,,unconfirmed,0.100719424460432,Tracheophyta
Circaea alpina ssp. pacifica,Circaea alpina pacifica; Circaea alpina,76342,subspecies,confirmed,1,Tracheophyta
Cirsium arvense,Cirsium arvense arvense; Cirsium arvense,324501; 60132,species,confirmed,1,Tracheophyta
Cirsium brevistylum,Cirsium brevistylum,52993,species,new,1,Tracheophyta
Cirsium edule var. macounii,Cirsium edule macounii; Cirsium edule,143675,variety,confirmed,1,Tracheophyta
Cirsium vulgare,Cirsium vulgare,52989,species,confirmed,1,Tracheophyta
Cistus creticus,Cistus creticus,64318,species,new,0.920863309352518,Tracheophyta
Clarkia amoena,Clarkia amoena,61048,species,confirmed,1,Tracheophyta
Clarkia amoena ssp. caurina,Clarkia amoena caurina,235283,subspecies,new,0.971223021582734,Tracheophyta
Clarkia amoena ssp. lindleyi,Clarkia amoena lindleyi,235285,subspecies,new,0.8,Tracheophyta
Clarkia quadrivulnera,Clarkia purpurea quadrivulnera; Clarkia purpurea,57146; 51087,species,new,0.954545454545454,Tracheophyta
Claytonia exigua,Claytonia exigua,57233,species,confirmed,1,Tracheophyta
Claytonia exigua ssp. exigua,Claytonia exigua exigua,57234,species,confirmed,0.981481481481482,Tracheophyta
Claytonia exigua ssp. glauca,Claytonia exigua glauca,57229,subspecies,confirmed,,Tracheophyta
Claytonia parviflora ssp. parviflora,Claytonia parviflora,58294,species,confirmed,1,Tracheophyta
Claytonia perfoliata ssp. perfoliata,Claytonia perfoliata; Claytonia perfoliata perfoliata,52994; 53002,subspecies,confirmed,1,Tracheophyta
Claytonia rubra,Claytonia rubra depressa; Claytonia rubra,79751; 64184,species,confirmed,1,Tracheophyta
Claytonia sibirica,Claytonia sibirica,55767,species,confirmed,1,Tracheophyta
Claytonia washingtoniana,Claytonia washingtoniana,76392,species,new,1,Tracheophyta
Clematis vitalba,Clematis vitalba,160697,species,new,1,Tracheophyta
Clinopodium douglasii,Clinopodium douglasii,53203,species,confirmed,1,Tracheophyta
Clinopodium vulgare,Clinopodium vulgare,84281,species,new,0.4,Tracheophyta
Collinsia grandiflora,Collinsia grandiflora,76409,species,confirmed,1,Tracheophyta
Collinsia parviflora,Collinsia parviflora,59013,species,confirmed,,Tracheophyta
Collomia grandiflora,Collomia grandiflora,61871,species,confirmed,0.992125984251969,Tracheophyta
Collomia heterophylla,Collomia heterophylla,52996,species,confirmed,1,Tracheophyta
Collomia linearis,Collomia linearis,76416,species,unconfirmed,0.446808510638298,Tracheophyta
Comandra umbellata ssp. californica,Comandra umbellata; Comandra umbellata californica,59991; 79754,subspecies,confirmed,1,Tracheophyta
Comarum palustre,Comarum palustre,62213,species,confirmed,1,Tracheophyta
Conioselinum pacificum,Conioselinum gmelinii,160830,species,confirmed,1,Tracheophyta
Conium maculatum,Conium maculatum,52998,species,confirmed,1,Tracheophyta
Conringia orientalis,Conringia orientalis,76429,species,unconfirmed,0.194244604316547,Tracheophyta
Convolvulus arvensis,Convolvulus arvensis,53021,species,confirmed,1,Tracheophyta
Conyza canadensis,Erigeron canadensis,76907,species,new,0.833333333333333,Tracheophyta
Corallorhiza maculata,Corallorhiza maculata,49475,species,confirmed,1,Tracheophyta
Corallorhiza maculata var. maculata,Corallorhiza maculata maculata,80614,variety,new,0.4,Tracheophyta
Corallorhiza maculata var. occidentalis,Corallorhiza maculata occidentalis,80615,variety,new,0.933333333333333,Tracheophyta
Corallorhiza maculata var. ozettensis,Corallorhiza maculata ozettensis,452199,variety,new,0.875,Tracheophyta
Corallorhiza mertensiana,Corallorhiza mertensiana,49444,species,confirmed,1,Tracheophyta
Corallorhiza striata var. striata,Corallorhiza striata striata; Corallorhiza striata,131215; 50708,variety,confirmed,1,Tracheophyta
Coreopsis tinctoria,Coreopsis tinctoria,76445,species,new,0.944444444444444,Tracheophyta
Cornus canadensis,Cornus canadensis,47192,species,new,0.2,Tracheophyta
Cornus nuttallii,Cornus nuttallii,76447,species,confirmed,1,Tracheophyta
Cornus occidentalis,Cornus sericea occidentalis,53366,subspecies,new,0.166666666666667,Tracheophyta
Cornus stolonifera,Cornus sericea,53387,species,confirmed,1,Tracheophyta
Cortaderia selloana,Cortaderia selloana,64240,species,new,0.88235294117647,Tracheophyta
Corydalis aurea ssp. aurea,Corydalis aurea,,,unconfirmed,0.517985611510791,Tracheophyta
Corydalis flavula,Pseudofumaria alba,347008,species,new,1,Tracheophyta
Corydalis lutea,Pseudofumaria lutea,130800,species,new,0.833333333333333,Tracheophyta
Corydalis scouleri,Corydalis scouleri,,species,unconfirmed,0.525179856115108,Tracheophyta
Corylus avellana,Corylus avellana,54491,species,new,1,Tracheophyta
Corylus cornuta ssp. californica,Corylus cornuta; Corylus cornuta californica,53374; 53368,subspecies,confirmed,1,Tracheophyta
Cota tinctoria,Cota tinctoria,,,,,Tracheophyta
Cotoneaster dammeri,Cotoneaster dammeri,160946,species,confirmed,0.9375,Tracheophyta
Cotoneaster dielsianus,Cotoneaster dielsianus,498529,species,new,0.0526315789473684,Tracheophyta
Cotoneaster divaricatus,Cotoneaster divaricatus,160947,species,new,1,Tracheophyta
Cotoneaster franchetii,Cotoneaster franchetii,1319212,species,new,1,Tracheophyta
Cotoneaster horizontalis,Cotoneaster horizontalis,53771,species,confirmed,1,Tracheophyta
Cotoneaster lacteus,Cotoneaster coriaceus,411074,species,new,0.833333333333333,Tracheophyta
Cotoneaster qungbixiensis,Cotoneaster qungbixiensis,993678,species,new,0.0526315789473684,Tracheophyta
Cotoneaster rehderi,Cotoneaster rehderi,160951,species,confirmed,1,Tracheophyta
Cotoneaster salicifolius,Cotoneaster salicifolius,337820,species,new,1,Tracheophyta
Cotoneaster simonsii,Cotoneaster simonsii,76461,species,new,1,Tracheophyta
Cotoneaster spp.,Cotoneaster,53376,species,new,0.863309352517986,Tracheophyta
Cotula coronopifolia,Cotula coronopifolia,58812,species,confirmed,0.989010989010989,Tracheophyta
Crassula aquatica,Crassula aquatica,58135,species,unconfirmed,0.266666666666667,Tracheophyta
Crassula connata,Crassula connata,57016,species,confirmed,1,Tracheophyta
Crassula tillaea,Crassula tillaea,58883,species,confirmed,1,Tracheophyta
Crataegus douglasii,Crataegus douglasii,76469,species,confirmed,1,Tracheophyta
Crataegus gaylussacia,Crataegus suksdorfii; Crataegus gaylussacia,1551517; 76470,species,confirmed,0.988372093023256,Tracheophyta
Crataegus laevigata,Crataegus laevigata,54428,species,new,0.75,Tracheophyta
Crataegus monogyna var. monogyna,Crataegus monogyna,51147,complex,confirmed,1,Tracheophyta
Crataegus shuswapensis,Crataegus shuswapensis,1280108,species,new,0.899280575539568,Tracheophyta
Crepis capillaris,Crepis capillaris,54050,species,confirmed,1,Tracheophyta
Crocidium multicaule,Crocidium multicaule,57524,species,confirmed,1,Tracheophyta
Crocus × stellaris,Crocus × stellaris,487126,hybrid,new,0.833333333333333,Tracheophyta
Crocus vernus,Crocus vernus,55769,species,new,1,Tracheophyta
Cryptantha torreyana,Cryptantha torreyana,,,,,Tracheophyta
Cryptogramma acrostichoides,Cryptogramma acrostichoides,76536,species,confirmed,1,Tracheophyta
Cuscuta cephalanthi,Cuscuta cephalanthi,52727,species,confirmed,0.985714285714286,Tracheophyta
Cuscuta pacifica var. pacifica,Cuscuta pacifica pacifica; Cuscuta pacifica,80645; 76553,variety,confirmed,1,Tracheophyta
Cuscuta pentagona,Cuscuta pentagona,,,unconfirmed,0.388489208633094,Tracheophyta
Cyclamen hederifolium,Cyclamen hederifolium,127355,species,confirmed,1,Tracheophyta
Cymbalaria muralis ssp. muralis,Cymbalaria muralis,55727,species,new,1,Tracheophyta
Cynodon dactylon var. dactylon,Cynodon dactylon,,,unconfirmed,0.0863309352517986,Tracheophyta
Cynosurus cristatus,Cynosurus cristatus,76581,species,confirmed,1,Tracheophyta
Cynosurus echinatus,Cynosurus echinatus,47695,species,confirmed,1,Tracheophyta
Cyperus esculentus var. leptostachyus,Cyperus esculentus,76584,species,new,0.884892086330935,Tracheophyta
Cypripedium montanum,Cypripedium montanum,,,,,Tracheophyta
Cystopteris fragilis,Cystopteris fragilis,58755,species,confirmed,1,Tracheophyta
Cytisus procumbens,Cytisus procumbens,897622,species,new,0.272727272727273,Tracheophyta
Cytisus scoparius,Cytisus scoparius,48538,species,confirmed,1,Tracheophyta
Dactylis glomerata,Dactylis glomerata,52720,species,confirmed,1,Tracheophyta
Danthonia californica,Danthonia californica,57165,species,confirmed,,Tracheophyta
Danthonia intermedia ssp. intermedia,Danthonia intermedia,,species,unconfirmed,0.79136690647482,Tracheophyta
Danthonia spicata,Danthonia spicata,130174,species,new,0.971223021582734,Tracheophyta
Danthonia unispicata,Danthonia unispicata,76605,species,unconfirmed,0.640287769784173,Tracheophyta
Daphne laureola,Daphne laureola,127391,species,confirmed,1,Tracheophyta
Daphne mezereum,Daphne mezereum,133034,species,new,0.971223021582734,Tracheophyta
Datura innoxia,Datura innoxia,161639,species,new,0.157894736842105,Tracheophyta
Datura stramonium,Datura stramonium,55854,species,confirmed,0.977777777777778,Tracheophyta
Daucus carota,Daucus carota,76610,species,confirmed,,Tracheophyta
Daucus pusillus,Daucus pusillus,56726,species,confirmed,1,Tracheophyta
Delphinium ajacis,Consolida ajacis; Delphinium ajacis,401314,species,new,1,Tracheophyta
Delphinium elatum,Delphinium elatum,161664,species,new,0.964028776978417,Tracheophyta
Delphinium menziesii var. menziesii,Delphinium menziesii; Delphinium menziesii menziesii,153479; 153478,variety,confirmed,,Tracheophyta
Deschampsia cespitosa,Deschampsia cespitosa,76639,species,confirmed,1,Tracheophyta
Deschampsia danthonioides,Deschampsia danthonioides,57164,species,confirmed,0.988372093023256,Tracheophyta
Deschampsia elongata,Deschampsia elongata,52722,species,confirmed,,Tracheophyta
Descurainia pinnata ssp. brachycarpa,Descurainia pinnata brachycarpon; Descurainia pinnata brachycarpa,59235,subspecies,unconfirmed,0.122448979591837,Tracheophyta
Descurainia sophia,Descurainia sophia,58074,species,confirmed,0.962025316455696,Tracheophyta
Dianthus armeria ssp. armeria,Dianthus armeria,64541,species,confirmed,1,Tracheophyta
Dianthus barbatus ssp. barbatus,Dianthus barbatus,60015,species,new,1,Tracheophyta
Dicentra formosa ssp. Formosa,Dicentra formosa,51048,species,confirmed,1,Tracheophyta
Dichanthelium acuminatum var. fasciculatum,Dichanthelium acuminatum; Dichanthelium lanuginosum,148953,variety,unconfirmed,0.333333333333333,Tracheophyta
Dichanthelium oligosanthes ssp. scribnerianum,Dichanthelium scribnerianum,1412639,variety,unconfirmed,0.3125,Tracheophyta
Digitalis purpurea,Digitalis purpurea,53983,species,new,1,Tracheophyta
Digitaria ischaemum,Digitaria ischaemum,76658,species,new,1,Tracheophyta
Digitaria sanguinalis,Digitaria sanguinalis,51633,species,new,1,Tracheophyta
Diplotaxis tenuifolia,Diplotaxis tenuifolia,76665,species,new,0.833333333333333,Tracheophyta
Dipsacus fullonum,Dipsacus fullonum,56002,species,new,1,Tracheophyta
Distichlis spicata,Distichlis spicata; Distichlis spicata spicata,58372; 315501,species,confirmed,1,Tracheophyta
Dodecatheon hendersonii,Primula hendersonii,487175,species,confirmed,1,Tracheophyta
Doronicum pardalianches,Doronicum pardalianches,61521,species,new,1,Tracheophyta
Draba verna,Draba verna,55823,species,confirmed,1,Tracheophyta
Drosera anglica,Drosera anglica,52655,species,unconfirmed,0.618705035971223,Tracheophyta
Drosera rotundifolia,Drosera rotundifolia,52658,species,confirmed,0.982608695652174,Tracheophyta
Drymocallis glandulosa var. glandulosa,Drymocallis glandulosa,76716,species,confirmed,1,Tracheophyta
Dryopteris expansa,Dryopteris expansa,64055,species,confirmed,1,Tracheophyta
Dulichium arundinaceum var. arundinaceum,Dulichium arundinaceum,76745,species,confirmed,0.981818181818182,Tracheophyta
Echinochloa crus-galli,Echinochloa crus-galli,60283,species,confirmed,,Tracheophyta
Echinocystis lobata,Echinocystis lobata,48618,species,unconfirmed,0.258992805755396,Tracheophyta
Echium vulgare,Echium vulgare,56174,species,confirmed,1,Tracheophyta
Egeria densa,Egeria densa; Elodea densa,1555600,species,confirmed,0.862745098039216,Tracheophyta
Eleocharis acicularis,Eleocharis acicularis,57020,species,unconfirmed,0.690647482014388,Tracheophyta
Eleocharis macrostachya,Eleocharis macrostachya,59064,species,unconfirmed,0.696428571428571,Tracheophyta
Eleocharis obtusa,Eleocharis obtusa,76779,species,confirmed,0.677966101694915,Tracheophyta
Eleocharis palustris,Eleocharis palustris,76782,complex,confirmed,1,Tracheophyta
Eleocharis parvula,Eleocharis parvula,,,unconfirmed,0.690647482014388,Tracheophyta
Elodea canadensis,Elodea canadensis,76793,species,confirmed,1,Tracheophyta
Elymus glaucus,Elymus glaucus,52791,species,confirmed,1,Tracheophyta
Elymus glaucus ssp. glaucus,Elymus glaucus glaucus,57171,subspecies,confirmed,,Tracheophyta
Elymus glaucus ssp. virescens,Elymus glaucus virescens,61203,subspecies,unconfirmed,0.495726495726496,Tracheophyta
Elymus hirsutus,Elymus hirsutus,162281,species,unconfirmed,0.477477477477477,Tracheophyta
Elymus repens,Elymus repens,60284,species,confirmed,0.988888888888889,Tracheophyta
Elymus trachycaulus,Elymus trachycaulus,61202,species,confirmed,0.991071428571429,Tracheophyta
Elymus trachycaulus ssp. trachycaulus,Elymus trachycaulus trachycaulus,636557,subspecies,unconfirmed,0.558558558558559,Tracheophyta
Empetrum nigrum,Empetrum nigrum,,species,unconfirmed,0.273381294964029,Tracheophyta
Epilobium brachycarpum,Epilobium brachycarpum,52971,species,confirmed,0.991452991452991,Tracheophyta
Epilobium ciliatum,Epilobium ciliatum,53050,species,new,1,Tracheophyta
Epilobium ciliatum ssp. ciliatum,Epilobium ciliatum ciliatum,53045,subspecies,confirmed,-16.0940170940171,Tracheophyta
Epilobium densiflorum,Epilobium densiflorum,57149,species,confirmed,1,Tracheophyta
Epilobium hallianum,Epilobium hallianum,76831,species,confirmed,0.967741935483871,Tracheophyta
Epilobium hirsutum,Epilobium hirsutum,84517,species,confirmed,0.96969696969697,Tracheophyta
Epilobium hornemannii ssp. hornemannii,Epilobium hornemannii hornemannii,,,,,Tracheophyta
Epilobium minutum,Epilobium minutum; Epilobium ravenii,57150; 1490819,species,confirmed,1,Tracheophyta
Epilobium obscurum,Epilobium obscurum,162366,species,new,0.0588235294117647,Tracheophyta
Epilobium tetragonum ssp. tetragonum,Epilobium tetragonum,56622,species,new,0.2,Tracheophyta
Epilobium torreyi,Epilobium torreyi,58949,species,unconfirmed,0.25,Tracheophyta
Epipactis helleborine,Epipactis helleborine,50717,species,confirmed,,Tracheophyta
Equisetum arvense,Equisetum arvense,52724,species,confirmed,1,Tracheophyta
Equisetum hyemale ssp. affine,Equisetum hyemale affine; Equisetum hyemale,53910; 52673,subspecies,confirmed,1,Tracheophyta
Equisetum telmateia ssp. braunii,Equisetum telmateia braunii; Equisetum telmateia,57032; 57030,subspecies,confirmed,,Tracheophyta
Erigeron philadelphicus,Erigeron philadelphicus,67820,species,new,0.97841726618705,Tracheophyta
Eriophyllum lanatum var. leucophyllum,Eriophyllum lanatum leucophyllum; Eriophyllum lanatum,77049,variety,confirmed,1,Tracheophyta
Erodium cicutarium ssp. cicutarium,Erodium cicutarium,47687,complex,confirmed,1,Tracheophyta
Eruca vesicaria ssp. sativa,Eruca vesicaria,77058,species,new,1,Tracheophyta
Erysimum capitatum var. purshii,Erysimum capitatum,50628,species,new,1,Tracheophyta
Erysimum cheiranthoides,Erysimum cheiranthoides,77068,species,confirmed,,Tracheophyta
Erysimum cheiri,Erysimum cheiri; Erysimum × cheiri,55892,species,confirmed,1,Tracheophyta
Erythranthe alsinoides,Erythranthe alsinoides,771843,species,confirmed,1,Tracheophyta
Erythranthe guttata,Erythranthe guttata,470643,species,confirmed,1,Tracheophyta
Erythranthe microphylla,Erythranthe microphylla,453717,species,confirmed,1,Tracheophyta
Erythranthe moschata,Erythranthe moschata,453644,species,confirmed,1,Tracheophyta
Erythranthe nasuta,Erythranthe nasuta,545973,species,confirmed,1,Tracheophyta
Erythranthe ptilota,Erythranthe ptilota,771908,species,new,0.5,Tracheophyta
Erythranthe sookensis,Erythranthe sookensis,,,unconfirmed,0.258992805755396,Tracheophyta
Erythronium oregonum ssp. oregonum,Erythronium oregonum,59520,species,confirmed,,Tracheophyta
Erythronium revolutum,Erythronium revolutum,77081,species,new,1,Tracheophyta
Eschscholzia californica,Eschscholzia californica californica; Eschscholzia californica,48225,species,confirmed,1,Tracheophyta
Eucephalus engelmannii,Eucephalus engelmannii,,,unconfirmed,0.20863309352518,Tracheophyta
Euonymus europaeus,Euonymus europaeus,55847,species,new,1,Tracheophyta
Eupatorium cannabinum,Eupatorium cannabinum,55976,species,new,0.5,Tracheophyta
Euphorbia cyparissias,Euphorbia cyparissias,55766,species,new,1,Tracheophyta
Euphorbia exigua,Euphorbia exigua,162822,species,unconfirmed,0.0697674418604651,Tracheophyta
Euphorbia helioscopia,Euphorbia helioscopia,56292,species,new,0.888888888888889,Tracheophyta
Euphorbia lathyris,Euphorbia lathyris,77114,species,new,1,Tracheophyta
Euphorbia maculata,Euphorbia maculata,58893,species,new,0.941176470588235,Tracheophyta
Euphorbia myrsinites,Euphorbia myrsinites,82511,species,new,1,Tracheophyta
Euphorbia oblongata,Euphorbia oblongata,77117,species,new,1,Tracheophyta
Euphorbia peplus,Euphorbia peplus,57036,species,new,1,Tracheophyta
Euphorbia virgata,Euphorbia virgata,77120,species,new,0.842105263157895,Tracheophyta
Eurybia radulina,Eurybia radulina,52974,species,confirmed,0.964285714285714,Tracheophyta
Euthamia graminifolia,Euthamia graminifolia,130989,species,new,0.166666666666667,Tracheophyta
Fallopia bohemica,Reynoutria × bohemica,850784,hybrid,new,0.833333333333333,Tracheophyta
Fallopia convolvulus,Fallopia convolvulus,77129,species,confirmed,1,Tracheophyta
Fallopia japonica,Reynoutria japonica,914922,species,new,1,Tracheophyta
Fallopia sachalinensis,Reynoutria sachalinensis,593040,species,new,1,Tracheophyta
Festuca ammobia,Festuca ammobia,181756,species,confirmed,1,Tracheophyta
Festuca idahoensis,Festuca idahoensis,61200,species,confirmed,0.984848484848485,Tracheophyta
Festuca occidentalis,Festuca occidentalis,59091,species,confirmed,1,Tracheophyta
Festuca roemeri var. roemeri,Festuca roemeri,162962,species,confirmed,1,Tracheophyta
Festuca rubra,Festuca rubra,61061,species,confirmed,1,Tracheophyta
Festuca subulata,Festuca subulata,77145,species,confirmed,0.963963963963964,Tracheophyta
Festuca subuliflora,Festuca subuliflora,77146,species,confirmed,0.992753623188406,Tracheophyta
Festuca trachyphylla,Festuca trachyphylla,77148,species,confirmed,0.884057971014493,Tracheophyta
Festuca valesiaca,Festuca valesiaca,,,,,Tracheophyta
Ficaria verna,Ficaria verna,204321,species,new,1,Tracheophyta
Filago vulgaris,Filago vulgaris; Filago germanica,634625,species,new,0.9,Tracheophyta
Foeniculum vulgare,Foeniculum vulgare,53052,species,confirmed,1,Tracheophyta
Fragaria × ananassa,Fragaria × ananassa,55366,hybrid,new,0.6,Tracheophyta
Fragaria chiloensis,Fragaria chiloensis,55367,species,confirmed,1,Tracheophyta
Fragaria vesca,Fragaria vesca,50298,species,confirmed,1,Tracheophyta
Fragaria vesca ssp. californica,Fragaria vesca californica,,,unconfirmed,0.0719424460431655,Tracheophyta
Fragaria virginiana,Fragaria virginiana,77155,species,confirmed,1,Tracheophyta
Fragaria virginiana ssp. glauca,Fragaria virginiana glauca,,,unconfirmed,0.18705035971223,Tracheophyta
Frangula purshiana ssp. purshiana,Frangula purshiana,77156,species,confirmed,1,Tracheophyta
Fraxinus excelsior,Fraxinus excelsior,125440,species,confirmed,1,Tracheophyta
Fraxinus latifolia,Fraxinus latifolia,63878,species,confirmed,1,Tracheophyta
Fraxinus ornus,Fraxinus ornus,319281,species,new,1,Tracheophyta
Fraxinus pennsylvanica,Fraxinus pennsylvanica,54808,species,new,0.875,Tracheophyta
Fritillaria affinis,Fritillaria affinis,50618,species,confirmed,1,Tracheophyta
Fritillaria camschatcensis,Fritillaria camschatcensis,128770,species,new,1,Tracheophyta
Fumaria muralis,Fumaria muralis,129075,species,new,1,Tracheophyta
Fumaria officinalis,Fumaria officinalis,53785,species,confirmed,0.961538461538461,Tracheophyta
Gaillardia aristata,Gaillardia aristata,77183,species,new,1,Tracheophyta
Galanthus elwesii,Galanthus elwesii,57514,species,new,1,Tracheophyta
Galega officinalis,Galega officinalis,157393,species,new,0.4,Tracheophyta
Galeopsis bifida,Galeopsis bifida,55967,species,new,0.625,Tracheophyta
Galeopsis tetrahit,Galeopsis tetrahit,,,new,0.964028776978417,Tracheophyta
Galium aparine,Galium aparine,53059,complex,confirmed,1,Tracheophyta
Galium boreale,Galium boreale,77188,species,confirmed,0.973684210526316,Tracheophyta
Galium murale,Galium murale,59005,species,new,0.888888888888889,Tracheophyta
Galium odoratum,Galium odoratum,56065,species,new,1,Tracheophyta
Galium spurium,Galium spurium,208784,species,new,1,Tracheophyta
Galium trifidum,Galium trifidum,77216,species,confirmed,0.983870967741935,Tracheophyta
Galium triflorum,Galium triflorum,53065,species,confirmed,1,Tracheophyta
Galium verum,Galium verum,84328,species,confirmed,0.941176470588235,Tracheophyta
Gamochaeta purpurea,Gamochaeta purpurea,60957,species,unconfirmed,0.113636363636364,Tracheophyta
Gamochaeta ustulata,Gamochaeta ustulata,77224,species,new,1,Tracheophyta
Gaultheria shallon,Gaultheria shallon,48441,species,confirmed,1,Tracheophyta
Genista tinctoria,Genista tinctoria,163222,species,new,0.877697841726619,Tracheophyta
Gentianella amarella ssp. acuta,Gentianella amarella,,,,,Tracheophyta
Geranium bicknellii,Geranium bicknellii,77251,species,confirmed,0.991452991452991,Tracheophyta
Geranium carolinianum,Geranium carolinianum,58917,species,confirmed,1,Tracheophyta
Geranium dissectum,Geranium dissectum,53075,species,confirmed,1,Tracheophyta
Geranium ibericum,Geranium ibericum,163261,species,unconfirmed,0.0719424460431655,Tracheophyta
Geranium lucidum,Geranium lucidum,77255,species,confirmed,1,Tracheophyta
Geranium molle,Geranium molle,53076,complex,confirmed,,Tracheophyta
Geranium purpureum,Geranium purpureum,57643,species,new,1,Tracheophyta
Geranium pusillum,Geranium pusillum,60204,species,confirmed,1,Tracheophyta
Geranium robertianum,Geranium robertianum,55925,species,confirmed,1,Tracheophyta
Geum aleppicum,Geum aleppicum,77265,species,confirmed,0.979591836734694,Tracheophyta
Geum macrophyllum var. macrophyllum,Geum macrophyllum; Geum macrophyllum macrophyllum,77266; 80908,variety,confirmed,1,Tracheophyta
Gilia capitata var. capitata,Gilia capitata,57793,species,confirmed,0.991071428571429,Tracheophyta
Githopsis specularioides,Githopsis specularioides,58867,species,confirmed,0.916666666666667,Tracheophyta
Glechoma hederacea,Glechoma hederacea,55830,species,new,1,Tracheophyta
Glehnia littoralis ssp. leiocarpa,Glehnia littoralis; Glehnia littoralis leiocarpa,77282; 79928,subspecies,confirmed,1,Tracheophyta
Glyceria borealis,Glyceria borealis,77287,species,unconfirmed,0.765765765765766,Tracheophyta
Glyceria declinata,Glyceria declinata,77288,species,unconfirmed,0.618705035971223,Tracheophyta
Glyceria elata,Glyceria elata,77289,species,confirmed,0.980952380952381,Tracheophyta
Glyceria grandis var. grandis,Glyceria grandis,77291,species,new,0.666666666666667,Tracheophyta
Glyceria leptostachya,Glyceria leptostachya,77292,species,unconfirmed,0.611510791366906,Tracheophyta
Glyceria maxima,Glyceria maxima,163336,species,confirmed,1,Tracheophyta
Glyceria occidentalis,Glyceria × occidentalis; Glyceria occidentalis,61060,species,confirmed,0.980769230769231,Tracheophyta
Glyceria striata,Glyceria striata,77293,species,confirmed,0.972972972972973,Tracheophyta
Gnaphalium palustre,Gnaphalium palustre,57980,species,confirmed,0.973684210526316,Tracheophyta
Gnaphalium uliginosum,Gnaphalium uliginosum,136366,species,confirmed,1,Tracheophyta
Goodyera oblongifolia,Goodyera oblongifolia,50719,species,confirmed,1,Tracheophyta
Gratiola ebracteata,Gratiola ebracteata,77300,species,confirmed,0.965811965811966,Tracheophyta
Gratiola neglecta,Gratiola neglecta,,,unconfirmed,0.618705035971223,Tracheophyta
Gratiola virginiana,Gratiola virginiana,,,,,Tracheophyta
Grindelia hirsutula var. hirsutula,Grindelia hirsutula,55364,species,new,1,Tracheophyta
Grindelia integrifolia,Grindelia integrifolia,124526,species,confirmed,1,Tracheophyta
Grindelia stricta,Grindelia stricta stricta; Grindelia stricta,80915; 61992,species,confirmed,1,Tracheophyta
Gymnocarpium disjunctum,Gymnocarpium disjunctum,120491,species,new,0.97841726618705,Tracheophyta
Gypsophila paniculata,Gypsophila paniculata,77315,species,new,0.870503597122302,Tracheophyta
Halerpestes cymbalaria,Halerpestes cymbalaria,941891,species,new,0.985611510791367,Tracheophyta
Hedera helix,Hedera helix,55882,species,confirmed,1,Tracheophyta
Hedera hibernica,Hedera hibernica,163549,species,new,1,Tracheophyta
Helenium autumnale,Helenium autumnale,77349,species,confirmed,0.9921875,Tracheophyta
Helianthus maximiliani,Helianthus maximiliani,130192,species,unconfirmed,0.194244604316547,Tracheophyta
Helianthus tuberosus,Helianthus tuberosus,122970,species,confirmed,0.5,Tracheophyta
Hemizonella minima,Hemizonella minima,77367,species,unconfirmed,0.602739726027397,Tracheophyta
Heracleum mantegazzianum,Heracleum mantegazzianum,130228,species,confirmed,1,Tracheophyta
Heracleum maximum,Heracleum maximum,53094,species,confirmed,1,Tracheophyta
Heracleum sphondylium,Heracleum sphondylium,163682,species,new,0.125,Tracheophyta
Hesperis matronalis,Hesperis matronalis,47697,species,confirmed,,Tracheophyta
Heterocodon rariflorus,Heterocodon rariflorum,58868,species,confirmed,0.979591836734694,Tracheophyta
Heuchera micrantha var. diversifolia,Heuchera micrantha diversifolia; Heuchera micrantha,51344; 51274,variety,confirmed,1,Tracheophyta
Hieracium albiflorum,Hieracium albiflorum,63937,species,confirmed,1,Tracheophyta
Hieracium aurantiacum,Pilosella aurantiaca,711103,species,new,1,Tracheophyta
Hieracium maculatum,Hieracium maculatum,163791,species,new,0.947368421052632,Tracheophyta
Hieracium umbellatum ssp. umbellatum,Hieracium umbellatum,55909,species,new,0.971223021582734,Tracheophyta
Hippuris vulgaris,Hippuris vulgaris,77422,species,confirmed,1,Tracheophyta
Holcus lanatus,Holcus lanatus,52793,species,confirmed,,Tracheophyta
Holcus mollis,Holcus mollis,77427,species,confirmed,0.857142857142857,Tracheophyta
Holodiscus discolor var. discolor,Holodiscus discolor discolor; Holodiscus discolor,53414,variety,confirmed,1,Tracheophyta
Holosteum umbellatum ssp. umbellatum,Holosteum umbellatum,77429,species,unconfirmed,0.0116279069767442,Tracheophyta
Honckenya peploides ssp. major,Honckenya peploides major; Honckenya peploides,129448; 129446,subspecies,confirmed,1,Tracheophyta
Hordeum brachyantherum ssp. brachyantherum,Hordeum brachyantherum,57173,species,confirmed,1,Tracheophyta
Hordeum jubatum,Hordeum jubatum,60287,species,confirmed,0.979591836734694,Tracheophyta
Hordeum jubatum ssp. intermedium,Hordeum jubatum intermedium,236440,subspecies,unconfirmed,0.183333333333333,Tracheophyta
